row_label_raw,row_label_full,Bank,Ending balance VND,Maturity,Interest rate % p.a.,Description of collateral,numeric__Ending balance VND,numeric__Maturity,numeric__Interest rate % p.a.,numeric__Description of collateral
Joint stock Commercial Bank for Investment and Development of Viet Nam (“BIDV”),Joint stock Commercial Bank for Investment and Development of Viet Nam (“BIDV”),Joint stock Commercial Bank for Investment and Development of Viet Nam (“BIDV”),"51,429,214,142",From 27 April to 11 September 2026,7.6 – 8.4%,"All properties attached at land number 257, 258, Map No. 01 Dien Loc, Phong Dien, Hue City and machinery, equipment (Note 11)",,,,
Joint Stock Commercial Bank for Foreign Trade of Vietnam (“Vietcombank) - Gia Lai Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam (“Vietcombank) - Gia Lai Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam (“Vietcombank) - Gia Lai Branch,"48,088,306,779",The maturity period is 6 months from the following day of the disbursement date according to each debt receipt,The interest rate is determined on the disbursement date according to the notice of interest rate from Vietcombank,"All properties attached at the land located at 114 Truong Chinh Street, Pleiku Ward, Gia Lai Province, and the Ayun Thuong 1A Hydropower Plant (12 MW), and all related machinery and equipment (Note 11) Term deposit contracts (Note 5)",,,,
TOTAL,TOTAL,TOTAL,"99,517,520,921",,,,,,,
