row_label_raw,row_label_full,Code,ITEMS,Notes,Current year,Previous year,numeric__ITEMS,numeric__Notes,numeric__Current year,numeric__Previous year
10,10,10,1. Net revenue from sale of goods and rendering of services,24.1,"2,998,867,342,581","2,325,314,422,750",,241.0,,
11,11,11,2. Cost of goods sold and services rendered,25,"(1,284,499,646,212)","(1,252,130,796,010)",,25.0,,
20,20,20,3. Gross profit from sale of goods and rendering of services,,"1,714,367,696,369","1,073,183,626,740",,,,
21,20 > 21,21,4. Finance income,24.2,"141,973,185,102","38,028,122,572",,242.0,,
22,20 > 22,22,5. Finance expenses,26,"(683,259,056,290)","(801,100,868,886)",,26.0,,
23,23,23,In which: Interest expense,,"(664,973,670,829)","(785,725,023,247)",,,,
24,23 > 24,24,6. Shares of profit of associates,16,"4,986,976,457","5,367,117,999",,16.0,,
25,25,25,7. Selling expenses,,-,"(25,000,000)",,,,
26,25 > 26,26,8. General and administrative expenses,27,"(200,053,742,755)","(135,489,654,026)",,27.0,,
30,30,30,9. Operating profit,,"978,015,058,883","179,963,344,399",,,,
31,31,31,10. Other income,,"2,464,065,959","4,866,550,788",,,,
32,32,32,11. Other expenses,,"(1,814,529,453)","(3,299,299,015)",,,,
40,40,40,12. Other profit,,"649,536,506","1,567,251,773",,,,
50,50,50,13. Accounting profit before tax,,"978,664,595,389","181,530,596,172",,,,
51,50 > 51,51,14. Current corporate income tax expense,29.1,"(71,152,947,253)","(55,371,388,939)",,291.0,,
52,50 > 52,52,15. Deferred tax income (expense),29.3,"39,267,204,984","(34,085,817,151)",,293.0,,
60,60,60,16. Net profit after tax,,"946,778,853,120","92,073,390,082",,,,
