row_label_raw,row_label_full,col_0,Number of shares,Number of shares_1,numeric__Number of shares,numeric__Number of shares_1
,,,Ending balance,Beginning balance,,
Authorized shares,Authorized shares,Authorized shares,"414,804,371","422,508,371",,
Issued and paid-up shares,Issued and paid-up shares,Issued and paid-up shares,,,,
Ordinary shares,Ordinary shares,Ordinary shares,"358,308,371","358,308,371",,
Preferred shares (*),Preferred shares (*),Preferred shares (*),"56,496,000","64,200,000",,
Shares in circulation,Shares in circulation,Shares in circulation,,,,
Ordinary shares,Ordinary shares,Ordinary shares,"358,308,371","358,308,371",,
Preferred shares (*),Preferred shares (*),Preferred shares (*),"56,496,000","64,200,000",,
