row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Accounting profit before tax,Accounting profit before tax,Accounting profit before tax,"978,664,595,389","181,530,596,172",,
Adjustments to increase (decrease) accounting profit:,Adjustments to increase (decrease) accounting profit:,Adjustments to increase (decrease) accounting profit:,Adjustments to increase (decrease) accounting profit:,Adjustments to increase (decrease) accounting profit:,,
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"60,583,884,431","62,622,713,356",,
Interest expenses under Decree No. 20/2025/ND-CP,Interest expenses under Decree No. 20/2025/ND-CP,Interest expenses under Decree No. 20/2025/ND-CP,"(84,134,957,377)","71,887,930,171",,
Temporary differences not recognized for deferred income tax,Temporary differences not recognized for deferred income tax,Temporary differences not recognized for deferred income tax,-,"33,972,319,497",,
Tax losses not recognized for deferred tax assets,Tax losses not recognized for deferred tax assets,Tax losses not recognized for deferred tax assets,"511,986,704","278,882,729,689",,
Utilisation of previously unrecognised tax losses,Utilisation of previously unrecognised tax losses,Utilisation of previously unrecognised tax losses,"(56,621,824,762)","(222,450,625)",,
Taxable income,Taxable income,Taxable income,"899,003,684,385","628,673,838,260",,
CIT at the tax rate of 20%,CIT at the tax rate of 20%,CIT at the tax rate of 20%,"20,887,175,480","84,841,663,716",,
CIT at the tax rate of 10%,CIT at the tax rate of 10%,CIT at the tax rate of 10%,"79,456,780,700","20,446,551,968",,
Corporate income tax,Corporate income tax,Corporate income tax,"100,343,956,180","105,288,215,684",,
Tax exemption or deduction,Tax exemption or deduction,Tax exemption or deduction,"(61,817,548,488)","(21,539,071,258)",,
Adjustment for (over) under accrual of tax from prior years,Adjustment for (over) under accrual of tax from prior years,Adjustment for (over) under accrual of tax from prior years,"(6,640,665,423)","5,708,061,664",,
CIT expense,CIT expense,CIT expense,"31,885,742,269","89,457,206,090",,
