row_label_raw,row_label_full,Bank,Ending balance VND,Purpose,Maturity,Interest,Collaterals,numeric__Ending balance VND,numeric__Purpose,numeric__Maturity,numeric__Interest,numeric__Collaterals
Vietcombank - Gia Lai Branch,Vietcombank - Gia Lai Branch,Vietcombank - Gia Lai Branch,Vietcombank - Gia Lai Branch,Vietcombank - Gia Lai Branch,Vietcombank - Gia Lai Branch,Vietcombank - Gia Lai Branch,Vietcombank - Gia Lai Branch,,,,,
,,,"2,790,000,000,000","To finance operating expenses of Tan Phu Dong 1 Wind Power Plant project, capacity of 100MW",From 5 April 2026 to 16 June 2036,"The interest rate is fixed at 7.9% per annum for the first 24 months from the first disbursement date. Afterwards, the interest rate is periodically adjusted every 3 months based on the 12-month term deposit in Vietnamese Dong announced by Vietcombank - Gia Lai Branch plus a margin of 3.1% per annum","The land-use rights and all assets attached to the land, including all machinery, equipment, means of transport and other movable assets belonging to or related to Tan Phu Dong 1 Wind Power Plant (capacity of 100 MW) (Note 11)",,,,,
,,,"1,453,000,000,000","To finance operating expenses of Tan Phu Dong 2 Wind Power Plant project, capacity of 50MW",From 05 July 2026 to 15 June 2035,"The interest rate is fixed at 8% per annum for the first 12 months from the first disbursement date. Afterwards, the interest rate is periodically adjusted every 3 months based on the 12-month term deposit in Vietnamese Dong announced by Vietcombank - Gia Lai Branch plus a margin of 3% per annum","The land-use rights and all assets attached to the land, including all machinery, equipment, means of transport and other movable assets belonging to or related to Tan Phu Dong 2 Wind Power Plant (capacity 50 MW) (Note 11)",,,,,
,,,"989,000,000,000",To invest in la Bang 1 Wind Power Plant Project,From 26 December 2026 to 5 February 2035,"The interest rate is fixed at 8% per annum for the first 12 months from the first disbursement date. Afterwards, the interest rate is periodically adjusted every 3 months based on the 12-month term saving deposit in Vietnamese Dong announced by Vietcombank - Gia Lai Branch plus a margin of 3.0% per annum","Land use rights and machinery and equipment of la Bang 1 Wind Power Plant, Krong Pa Solar Power Plant, Ayun Thuong 1A Hydropower Plant, Ham Phu 2 Solar Power Plant, the Group's shares in la Bang Wind Power Joint Stock Company and term-deposits as the collaterals (Note 5)",,,,,
,,,"927,338,987,709",To finance the operating expenses of VPL Ben Tre Wind Power Plant project-phase 1,From 24 February 2027 to 24 August 2035,"The interest rate is fixed at 8% per annum for the first 12 months from the first disbursement date. Afterwards, the interest rate is periodically adjusted every 3 months based on the 12-month term deposit in Vietnamese Dong announced by Vietcombank - Gia Lai Branch plus a margin of 3.1% per annum","All machinery and equipment including turbine foundation, assets attached to land already formed and arising property rights of VPL Ben Tre Wind Power Plant phase 1, Krong Pa solar power plant, Ayun Thuong 1A hydropower plant, Ham Phu 2 solar power plant, la Bang wind power plant (Note 11), shares of the Group in VPL Energy Joint Stock Company and term-deposits as the collaterals (Note 5)",,,,,
