row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Ending balance,Beginning balance,,
Short-term,Short-term,Short-term,Short-term,Short-term,,
Insurance fee,Insurance fee,Insurance fee,"7,161,165,308","5,629,920,836",,
Repair and maintenance,Repair and maintenance,Repair and maintenance,"359,834,336","12,919,727,062",,
Others,Others,Others,"3,044,104,571","2,915,493,898",,
TOTAL,TOTAL,TOTAL,"10,565,104,215","21,465,141,796",,
Long-term,Long-term,Long-term,Long-term,Long-term,,
Prepaid land rental,Prepaid land rental,Prepaid land rental,"6,669,918,437","6,915,901,109",,
Insurance fee,Insurance fee,Insurance fee,"6,317,770,185","5,165,416,689",,
Plant renovation and fixed asset repair,Plant renovation and fixed asset repair,Plant renovation and fixed asset repair,"2,377,938,480","8,068,268,865",,
"Tools, supplies and office equipment","Tools, supplies and office equipment","Tools, supplies and office equipment","1,074,191,281","1,217,950,391",,
Others,Others,Others,"2,999,370,485","2,958,177,464",,
TOTAL,TOTAL,TOTAL,"19,439,188,868","24,325,714,518",,
