row_label_raw,row_label_full,Related party,Transaction,Ending balance,Beginning balance,numeric__Transaction,numeric__Ending balance,numeric__Beginning balance
Short-term trade accounts receivable,Short-term trade accounts receivable,Short-term trade accounts receivable,Short-term trade accounts receivable,Short-term trade accounts receivable,Short-term trade accounts receivable,,,
TTC Energy,TTC Energy,TTC Energy,Services rendered,"28,533,488,546","180,452,016",,,
Dang Huynh,Dang Huynh,Dang Huynh,Services rendered,"218,325,944","161,056,068",,,
Lavi,Lavi,Lavi,Services rendered,-,"1,998,000,000",,,
Attapeu Sugar Can,Attapeu Sugar Can,Attapeu Sugar Can,Services rendered,-,"57,000,000",,,
TTC Circular Agrotech,TTC Circular Agrotech,TTC Circular Agrotech,Services rendered,-,"37,500,000",,,
Agris Ninh Hoa Import Export,Agris Ninh Hoa Import Export,Agris Ninh Hoa Import Export,Services rendered,-,"37,908,000",,,
Ninh Hoa Thermoelectricity,Ninh Hoa Thermoelectricity,Ninh Hoa Thermoelectricity,Services rendered,-,"30,348,000",,,
Ninh Hoa Clean Energy,Ninh Hoa Clean Energy,Ninh Hoa Clean Energy,Services rendered,-,"8,748,000",,,
Bien Hoa - Phan Rang Sugar,Bien Hoa - Phan Rang Sugar,Bien Hoa - Phan Rang Sugar,Services rendered,-,"8,748,000",,,
TOTAL,TOTAL,TOTAL,,"28,751,814,490","2,519,760,084",,,
