row_label_raw,row_label_full,col_0,Beginning balance,Increase in year,Decrease in year,Reclassify,Ending balance,numeric__Beginning balance,numeric__Increase in year,numeric__Decrease in year,numeric__Reclassify,numeric__Ending balance
Short-term loans and finance leases,Short-term loans and finance leases,Short-term loans and finance leases,"596,947,078,982","206,720,036,667","(1,222,930,549,682)","1,035,174,584,001","615,911,149,968",,,,,
Loan from banks (Notes 22.1),Loan from banks (Notes 22.1),Loan from banks (Notes 22.1),"38,219,574,140","206,720,036,667","(145,422,089,886)",-,"99,517,520,921",,,,,
Current portion of long-term loan from banks (Notes 22.2),Current portion of long-term loan from banks (Notes 22.2),Current portion of long-term loan from banks (Notes 22.2),"274,231,333,332",-,"(793,093,568,285)","950,321,554,956","431,459,320,003",,,,,
Current portion of issued bonds (Notes 22.3),Current portion of issued bonds (Notes 22.3),Current portion of issued bonds (Notes 22.3),"60,000,000,000",-,"(60,000,000,000)","75,000,000,000","75,000,000,000",,,,,
Current portion of financial leases (Notes 22.4),Current portion of financial leases (Notes 22.4),Current portion of financial leases (Notes 22.4),"12,824,891,511",-,"(12,824,891,511)","9,853,029,045","9,853,029,045",,,,,
Current portion of loans from third party (*),Current portion of loans from third party (*),Current portion of loans from third party (*),"211,590,000,000",-,"(211,590,000,000)",-,-,,,,,
Others,Others,Others,"81,279,999",-,-,-,"81,279,999",,,,,
Long-term loans and finance leases,Long-term loans and finance leases,Long-term loans and finance leases,"8,596,078,933,882","234,393,099,188","(68,300,000,000)","(1,035,174,584,001)","7,726,997,449,069",,,,,
Loan from banks (Notes 22.2),Loan from banks (Notes 22.2),Loan from banks (Notes 22.2),"7,965,419,909,615","232,378,365,860","(68,300,000,000)","(950,321,554,956)","7,179,176,720,519",,,,,
Issued bonds (Notes 22.3),Issued bonds (Notes 22.3),Issued bonds (Notes 22.3),"598,486,368,814","2,014,733,328",-,"(75,000,000,000)","525,501,102,142",,,,,
Financial lease (Notes 22.4),Financial lease (Notes 22.4),Financial lease (Notes 22.4),"32,172,655,453",-,-,"(9,853,029,045)","22,319,626,408",,,,,
TOTAL,TOTAL,TOTAL,"9,193,026,012,864","441,113,135,855","(1,291,230,549,682)",-,"8,342,908,599,037",,,,,
