row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm và số cuối năm,Nguyên giá: > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,25.619.130.441,13.590.685.902,171.739.184,39.381.555.527,25619130441.0,13590685902.0,171739184.0,39381555527.0
Trong đó:Đã hao mòn hết,Nguyên giá: > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,-,11.730.143.217,171.739.184,11.901.882.401,,11730143217.0,171739184.0,11901882401.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,4.964.965.267,12.824.052.734,171.739.184,17.960.757.185,4964965267.0,12824052734.0,171739184.0,17960757185.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,906.183.696,276.749.998,-,1.182.933.694,906183696.0,276749998.0,,1182933694.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,5.871.148.963,13.100.802.732,171.739.184,19.143.690.879,5871148963.0,13100802732.0,171739184.0,19143690879.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,20.654.165.174,766.633.168,-,21.420.798.342,20654165174.0,766633168.0,,21420798342.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,19.747.981.478,489.883.170,-,20.237.864.648,19747981478.0,489883170.0,,20237864648.0
"Trong đó:Tài sán càmcố, thế chấp(TM số 22)","Giá trị còn lại: > Trong đó:Tài sán càmcố, thế chấp(TM số 22)","Trong đó:Tài sán càmcố, thế chấp(TM số 22)",10.869.328.283,-,-,10.869.328.283,10869328283.0,,,10869328283.0
