row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,978.664.595.389,181.530.596.172,978664595389.0,181530596172.0
Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán:,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán:,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán:,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán:,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán:,,
Chi phí không được khấu trừ,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,60.583.884.431,62.622.713.356,60583884431.0,62622713356.0
Chi phí lãi vay theo Nghị định 20/2025/NĐ-CP,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán: > Chi phí lãi vay theo Nghị định 20/2025/NĐ-CP,Chi phí lãi vay theo Nghị định 20/2025/NĐ-CP,(84.134.957.377),71.887.930.171,-84134957377.0,71887930171.0
Chênh lệch tạm thời mà không được ghi nhận thuế TNDN hoãn lại,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán: > Chênh lệch tạm thời mà không được ghi nhận thuế TNDN hoãn lại,Chênh lệch tạm thời mà không được ghi nhận thuế TNDN hoãn lại,-,33.972.319.497,,33972319497.0
Lỗ tính thuế chưa ghi nhập tài sản thuế hoãn lại,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán: > Lỗ tính thuế chưa ghi nhập tài sản thuế hoãn lại,Lỗ tính thuế chưa ghi nhập tài sản thuế hoãn lại,511.986.704,278.882.729.689,511986704.0,278882729689.0
Lỗ tính thuế đã được sử dụng,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán: > Lỗ tính thuế đã được sử dụng,Lỗ tính thuế đã được sử dụng,(56.621.824.762),(222.450.625),-56621824762.0,-222450625.0
Thu nhập tính thuế,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán: > Thu nhập tính thuế,Thu nhập tính thuế,899.003.684.385,628.673.838.260,899003684385.0,628673838260.0
Thuế TNDN ở thuế suất 20%,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán: > Thuế TNDN ở thuế suất 20%,Thuế TNDN ở thuế suất 20%,20.887.175.480,84.841.663.716,20887175480.0,84841663716.0
Thuế TNDN ở thuế suất 10%,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán: > Thuế TNDN ở thuế suất 10%,Thuế TNDN ở thuế suất 10%,79.456.780.700,20.446.551.968,79456780700.0,20446551968.0
Thuế TNDN,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán: > Thuế TNDN,Thuế TNDN,100.343.956.180,105.288.215.684,100343956180.0,105288215684.0
Thuế được miễn hoặc giảm,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán: > Thuế được miễn hoặc giảm,Thuế được miễn hoặc giảm,(61.817.548.488),(21.539.071.258),-61817548488.0,-21539071258.0
Điều chỉnh thuế TNDN trích (thừa) thiếu trong những năm trước,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán: > Điều chỉnh thuế TNDN trích (thừa) thiếu trong những năm trước,Điều chỉnh thuế TNDN trích (thừa) thiếu trong những năm trước,(6.640.665.423),5.708.061.664,-6640665423.0,5708061664.0
Chi phí thuế TNDN,Các điều chỉnh tăng (giảm) lợi nhuận theo kế toán: > Chi phí thuế TNDN,Chi phí thuế TNDN,31.885.742.269,89.457.206.090,31885742269.0,89457206090.0
