row_label_raw,row_label_full,Related parties,Relationship,numeric__Relationship
"Jera Asia Vietnam Holdings Pte.Ltd. (""Jera Asia"")","Jera Asia Vietnam Holdings Pte.Ltd. (""Jera Asia"")","Jera Asia Vietnam Holdings Pte.Ltd. (""Jera Asia"")",Major shareholder,
"Thanh Thanh Cong Investment Joint Stock Company (""Thanh Thanh Cong Invesment"")","Thanh Thanh Cong Investment Joint Stock Company (""Thanh Thanh Cong Invesment"")","Thanh Thanh Cong Investment Joint Stock Company (""Thanh Thanh Cong Invesment"")",Major shareholder,
"Bien Hoa Consumer Joint Stock Company (""Bien Hoa Consumer"")","Bien Hoa Consumer Joint Stock Company (""Bien Hoa Consumer"")","Bien Hoa Consumer Joint Stock Company (""Bien Hoa Consumer"")",Major shareholder,
Thanh Thanh Cong – Bien Hoa Joint Stock Company,Thanh Thanh Cong – Bien Hoa Joint Stock Company,Thanh Thanh Cong – Bien Hoa Joint Stock Company,Major shareholder,
Ben Tre Import Export Joint Stock Company,Ben Tre Import Export Joint Stock Company,Ben Tre Import Export Joint Stock Company,Major shareholder,
"Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG) (""Deutsche Investitions"")","Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG) (""Deutsche Investitions"")","Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG) (""Deutsche Investitions"")",Shareholder holding preference shares,
"TTC Attapeu Sugar Cane Company Limited (""TTC Attapeu Sugar Cane"")","TTC Attapeu Sugar Cane Company Limited (""TTC Attapeu Sugar Cane"")","TTC Attapeu Sugar Cane Company Limited (""TTC Attapeu Sugar Cane"")",Related party of major shareholder,
"Agris Ninh Hoa Import Export Joint Stock Company (""Agris Ninh Hoa Import Export"")","Agris Ninh Hoa Import Export Joint Stock Company (""Agris Ninh Hoa Import Export"")","Agris Ninh Hoa Import Export Joint Stock Company (""Agris Ninh Hoa Import Export"")",Related party of major shareholder,
"Thanh Thanh Nam Joint Stock Company (""Thanh Thanh Nam"")","Thanh Thanh Nam Joint Stock Company (""Thanh Thanh Nam"")","Thanh Thanh Nam Joint Stock Company (""Thanh Thanh Nam"")",Related party of major shareholder,
"TTC International Travel Limited Company (""TTC International Travel"")","TTC International Travel Limited Company (""TTC International Travel"")","TTC International Travel Limited Company (""TTC International Travel"")",Related party of major shareholder,
"Thanh Ngoc Tea Joint Stock Company (""Thanh Ngoc Tea"")","Thanh Ngoc Tea Joint Stock Company (""Thanh Ngoc Tea"")","Thanh Ngoc Tea Joint Stock Company (""Thanh Ngoc Tea"")",Related party of major shareholder,
