row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Net profit after tax,Net profit after tax,Net profit after tax,"708,521,811,800","114,823,028,545",,
Less: Bonus and welfare funds (*),Less: Bonus and welfare funds (*),Less: Bonus and welfare funds (*),"(44,757,588,114)","(12,381,585,926)",,
Less: Dividend on preference shares,Less: Dividend on preference shares,Less: Dividend on preference shares,"(40,878,066,000)","(40,076,208,000)",,
Net profit attributable to ordinary equity holders,Net profit attributable to ordinary equity holders,Net profit attributable to ordinary equity holders,"622,886,157,686","62,365,234,619",,
Weighted average number of ordinary shares (shares),Weighted average number of ordinary shares (shares),Weighted average number of ordinary shares (shares),"358,308,371","358,308,371",,
Effect of dilution due to: Convertible preference shares,Effect of dilution due to: Convertible preference shares,Effect of dilution due to: Convertible preference shares,"23,479,383","23,668,733",,
Basic earnings per share (VND/share),Effect of dilution due to: Convertible preference shares > Basic earnings per share (VND/share),Basic earnings per share (VND/share),"1,738",174,1.738,174.0
Diluted earnings per share (VND/share),Effect of dilution due to: Convertible preference shares > Diluted earnings per share (VND/share),Diluted earnings per share (VND/share),"1,738",174,1.738,174.0
