row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn",Thiết bịquản lý,Tài sản khác,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn",numeric__Thiết bịquản lý,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,3.955.068.436.975,9.994.191.686.733,2.531.265.104.186,243.654.003.352,157.397.319.459,16.881.576.550.705,3955068436975.0,9994191686733.0,2531265104186.0,243654003352.0,157397319459.0,16881576550705.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,134.360.930,68.000.000,-,-,635.308.000,837.668.930,134360930.0,68000000.0,,,635308000.0,837668930.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,437.097.974,3.010.523.105,3.959.127.327,2.504.934.407,38.600.000,9.950.282.813,437097974.0,3010523105.0,3959127327.0,2504934407.0,38600000.0,9950282813.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,-,10.135.850.502,-,-,-,10.135.850.502,,10135850502.0,,,,10135850502.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(30.633.658),(320.630.981),(2.939.119.764),(40.857.537),(402.231.014),(3.733.472.954),-30633658.0,-320630981.0,-2939119764.0,-40857537.0,-402231014.0,-3733472954.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,(981.109.336),-,-,-,(981.109.336),,-981109336.0,,,,-981109336.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,3.955.609.262.221,10.006.104.320.023,2.532.285.111.749,246.118.080.222,157.668.996.445,16.897.785.770.660,3955609262221.0,10006104320023.0,2532285111749.0,246118080222.0,157668996445.0,16897785770660.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,68.198.305.199,36.259.911.117,12.860.363.074,12.235.249.510,34.276.696.953,163.830.525.853,68198305199.0,36259911117.0,12860363074.0,12235249510.0,34276696953.0,163830525853.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,974.965.740.770,2.148.737.594.633,366.797.067.661,93.034.054.486,89.528.383.748,3.673.062.841.298,974965740770.0,2148737594633.0,366797067661.0,93034054486.0,89528383748.0,3673062841298.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,160.627.841.066,505.442.735.646,103.167.294.567,22.602.094.547,1.865.976.196,793.705.942.022,160627841066.0,505442735646.0,103167294567.0,22602094547.0,1865976196.0,793705942022.0
Phân loại lại,Giá trị khấu hao lũy kế: > Phân loại lại,Phân loại lại,-,2.826.731.512,-,-,-,2.826.731.512,,2826731512.0,,,,2826731512.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,(30.633.658),(320.630.981),(2.848.549.639),(40.857.537),(402.231.014),(3.642.902.829),-30633658.0,-320630981.0,-2848549639.0,-40857537.0,-402231014.0,-3642902829.0
Giảm khác,Giá trị khấu hao lũy kế: > Giảm khác,Giảm khác,-,(52.956.023),-,-,-,(52.956.023),,-52956023.0,,,,-52956023.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,1.135.562.948.178,2.656.633.474.787,467.115.812.589,115.595.291.496,90.992.128.930,4.465.899.655.980,1135562948178.0,2656633474787.0,467115812589.0,115595291496.0,90992128930.0,4465899655980.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.980.102.696.205,7.845.454.092.100,2.164.468.036.525,150.619.948.866,67.868.935.711,13.208.513.709.407,2980102696205.0,7845454092100.0,2164468036525.0,150619948866.0,67868935711.0,13208513709407.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.820.046.314.043,7.349.470.845.236,2.065.169.299.160,130.522.788.726,66.676.867.515,12.431.886.114.680,2820046314043.0,7349470845236.0,2065169299160.0,130522788726.0,66676867515.0,12431886114680.0
"Trong đó:Tài sân cảm cố, thế chấp(TM số 22)","Giá trị còn lại: > Trong đó:Tài sân cảm cố, thế chấp(TM số 22)","Trong đó:Tài sân cảm cố, thế chấp(TM số 22)",2.777.809.115.218,7.267.825.561.540,2.063.421.444.652,121.737.401.282,58.692.350.589,12.289.485.873.281,2777809115218.0,7267825561540.0,2063421444652.0,121737401282.0,58692350589.0,12289485873281.0
