row_label_raw,row_label_full,col_0,Ending balance,Beginning balance,numeric__Ending balance,numeric__Beginning balance
Less than 1 year,Less than 1 year,Less than 1 year,"11,597,941,421","7,462,489,414",,
From 1 to 5 years,From 1 to 5 years,From 1 to 5 years,"24,274,598,797","18,085,950,352",,
More than 5 years,More than 5 years,More than 5 years,"155,101,835,647","99,073,008,275",,
TOTAL,TOTAL,TOTAL,"190,974,375,865","124,621,448,041",,
