row_label_raw,row_label_full,col_0,col_1,Địa điểm,Lĩnh vực kinh doanh,Tỷ lệ sở hữu theo vốn điều lệ (%),Tỷ lệ sở hữu theo vốn điều lệ (%)_1,Tỷ lệ quyền biểu quyết (%),Tỷ lệ quyền biểu quyết (%)_1,numeric__col_1,numeric__Địa điểm,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu theo vốn điều lệ (%),numeric__Tỷ lệ sở hữu theo vốn điều lệ (%)_1,numeric__Tỷ lệ quyền biểu quyết (%),numeric__Tỷ lệ quyền biểu quyết (%)_1
,,,,Địa điểm,Lĩnh vực kinh doanh,Ngày 31tháng 12năm 2025,Ngày 31tháng 12năm 2024,Ngày 31tháng 12năm 2025,Ngày 31tháng 12năm 2024,,,,,,,
(a),(a),(a),Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,,,,
1.,(a) > 1.,1.,Công ty Cổ phần Thủy điện Gia Lai,Tình Gia Lai,Sản xuất và phân phối điện,"62,53","62,53","62,53","62,53",,,,62.53,62.53,62.53,62.53
2.,(a) > 2.,2.,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Tình Tây Ninh,Sản xuất và phân phối điện,"99,92","99,92","99,92","99,92",,,,99.92,99.92,99.92,99.92
3.,(a) > 3.,3.,Công ty Cổ phần Năng lượng Điện gió Tiền Giang,Tình Đồng Tháp,Sản xuất và phân phối điện,"54,93","54,93","54,93","54,93",,,,54.93,54.93,54.93,54.93
4.,(a) > 4.,4.,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Tình Lâm Đồng,Sản xuất và phân phối điện,"99,96","99,96","99,96","99,96",,,,99.96,99.96,99.96,99.96
5.,(a) > 5.,5.,Công ty Cổ phần Năng lượng VPL,Tình Vĩnh Long,Sản xuất và phân phối điện,"88,84","88,84","99,98","99,98",,,,88.84,88.84,99.98,99.98
6.,(a) > 6.,6.,Công ty Cổ phần Điện gió la Bang,Tình Gia Lai,Sản xuất và phân phối điện,"84,72","84,72","99,53","99,53",,,,84.72,84.72,99.53,99.53
7.,(a) > 7.,7.,Công ty TNHH Một thành viên Thủy Điện Thượng Lộ,Thành Phố Huế,Sản xuất và phân phối điện,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
8.,(a) > 8.,8.,Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi-Ja,Thành Phố Hồ Chí Minh,Sản xuất và phân phối điện,"99,00","99,00","99,00","99,00",,,,99.0,99.0,99.0,99.0
9.,(a) > 9.,9.,Công ty Cổ phần Năng lượng Tái tạo Tiền Giang (*),Tình Đồng Tháp,Sản xuất và phân phối điện,"99,71","99,71","99,71","99,71",,,,99.71,99.71,99.71,99.71
10.,(a) > 10.,10.,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Tình Gia Lai,Hoạt động kiến trúc và tư vấn kỹ thuật điện có liên quan,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
11.,(a) > 11.,11.,Công ty Cổ phần Năng lượng Xanh Cà Mau (*),Tình Cà Mau,"Sản xuất, truyền tải và phân phối điện","95,00","95,00","95,00","95,00",,,,95.0,95.0,95.0,95.0
12.,(a) > 12.,12.,Công ty Cổ phần Năng lượng Tái tạo Tân Thành (*) (i),Tình Đồng Tháp,Sản xuất và phân phối điện,"99,17","96,15","99,17","96,15",,,,99.17,96.15,99.17,96.15
(b),(b),(b),Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,,,,
1.,(b) > 1.,1.,Công ty Cổ phần Năng lượng điện Cao Nguyên,Tình Đắk Lắk,"Sản xuất, truyền tải và phân phối điện","99,00","99,00","99,99","99,99",,,,99.0,99.0,99.99,99.99
(c),(c),(c),Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,
1.,(c) > 1.,1.,"Công ty Cổ phần Thủy điện Trường Phú (ii) (""Trường Phú"")",Thành Phố Huế,"Sản xuất, truyền tải và phân phối điện",-,"25,09",-,"25,09",,,,,25.09,,25.09
2.,(c) > 2.,2.,"Công ty Cổ phần Năng lượng Solwind (""Solwind"")",Thành Phố Hồ Chí Minh,Hoạt động tư vấn và quản lý điện có liên quan,"49,99","49,99","49,99","49,99",,,,49.99,49.99,49.99,49.99
