row_label_raw,row_label_full,col_0,Ending balance,VNDBeginning balance,numeric__Ending balance,numeric__VNDBeginning balance
Advances to suppliers,Advances to suppliers,Advances to suppliers,"239,091,992,001","20,329,154,499",,
- PC1 Group Joint Stock Company,- PC1 Group Joint Stock Company,- PC1 Group Joint Stock Company,"116,000,000,000",-,,
- Goldwind International Renewable Energy Limited,- Goldwind International Renewable Energy Limited,- Goldwind International Renewable Energy Limited,"59,786,748,000",-,,
- VITECH Automation Equipment and Solution Company Limited,- VITECH Automation Equipment and Solution Company Limited,- VITECH Automation Equipment and Solution Company Limited,"23,223,299,330",,,
- Others,- Others,- Others,"40,081,944,671","20,329,154,499",,
Advances to a related party (Note 30),Advances to a related party (Note 30),Advances to a related party (Note 30),-,"199,550,000",,
TOTAL,TOTAL,TOTAL,"239,091,992,001","20,528,704,499",,
