row_label_raw,row_label_full,Số đầu năm > Hao mòn trong năm,8.457.845.465 > 4.828.442.933,numeric__8.457.845.465 > 4.828.442.933
Phân loại lại,Phân loại lại,Phân loại lại,(2.826.731.512),-2826731512.0
Số cuối năm,Số cuối năm,Số cuối năm,10.459.556.886,10459556886.0
