row_label_raw,row_label_full,col_0,Total capitalcommitment,Amountcontributed,Amount to becontributed,numeric__Total capitalcommitment,numeric__Amountcontributed,numeric__Amount to becontributed
Tien Giang RenewableEnergy Joint Stock Company,Tien Giang RenewableEnergy Joint Stock Company,Tien Giang RenewableEnergy Joint Stock Company,"249,990,000,000","3,400,000,000","246,590,000,000",,,
Tan Thanh RenewablePower Joint Stock Company,Tan Thanh RenewablePower Joint Stock Company,Tan Thanh RenewablePower Joint Stock Company,"199,800,000,000","24,000,000,000","175,800,000,000",,,
Ca Mau Green Energy JointStock Company,Ca Mau Green Energy JointStock Company,Ca Mau Green Energy JointStock Company,"149,900,000,000","1,900,000,000","148,000,000,000",,,
TOTAL,TOTAL,TOTAL,"599,690,000,000","29,300,000,000","570,390,000,000",,,
