row_label_raw,row_label_full,col_0,Buildings and structures,Machinery and equipment,Means of transportation,Office equipment,Others,VND Total,numeric__Buildings and structures,numeric__Machinery and equipment,numeric__Means of transportation,numeric__Office equipment,numeric__Others,numeric__VND Total
Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,,,,,,
Beginning balance,Beginning balance,Beginning balance,"3,955,068,436,975","9,994,191,686,733","2,531,265,104,186","243,654,003,352","157,397,319,459","16,881,576,550,705",,,,,,
Transfer from construction in progress,Transfer from construction in progress,Transfer from construction in progress,"134,360,930","68,000,000",-,-,"635,308,000","837,668,930",,,,,,
New purchases,New purchases,New purchases,"437,097,974","3,010,523,105","3,959,127,327","2,504,934,407","38,600,000","9,950,282,813",,,,,,
Reclassification,Reclassification,Reclassification,-,"10,135,850,502",-,-,-,"10,135,850,502",,,,,,
Disposal,Disposal,Disposal,"(30,633,658)","(320,630,981)","(2,939,119,764)","(40,857,537)","(402,231,014)","(3,733,472,954)",,,,,,
Other decrease,Other decrease,Other decrease,-,"(981,109,336)",-,-,-,"(981,109,336)",,,,,,
Ending balance,Ending balance,Ending balance,"3,955,609,262,221","10,006,104,320,023","2,532,285,111,749","246,118,080,222","157,668,996,445","16,897,785,770,660",,,,,,
In which: Fully depreciated,In which: Fully depreciated,In which: Fully depreciated,"68,198,305,199","36,259,911,117","12,860,363,074","12,235,249,510","34,276,696,953","163,830,525,853",,,,,,
Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,,,,,,
Beginning balance,Beginning balance,Beginning balance,"974,965,740,770","2,148,737,594,633","366,797,067,661","93,034,054,486","89,528,383,748","3,673,062,841,298",,,,,,
Depreciation for the year,Depreciation for the year,Depreciation for the year,"160,627,841,066","505,442,735,646","103,167,294,567","22,602,094,547","1,865,976,196","793,705,942,022",,,,,,
Reclassification,Reclassification,Reclassification,-,"2,826,731,512",-,-,-,"2,826,731,512",,,,,,
Disposal,Disposal,Disposal,"(30,633,658)","(320,630,981)","(2,848,549,639)","(40,857,537)","(402,231,014)","(3,642,902,829)",,,,,,
Other decrease,Other decrease,Other decrease,-,"(52,956,023)",-,-,-,"(52,956,023)",,,,,,
Ending balance,Ending balance,Ending balance,"1,135,562,948,178","2,656,633,474,787","467,115,812,589","115,595,291,496","90,992,128,930","4,465,899,655,980",,,,,,
Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,,,,,,
Beginning balance,Beginning balance,Beginning balance,"2,980,102,696,205","7,845,454,092,100","2,164,468,036,525","150,619,948,866","67,868,935,711","13,208,513,709,407",,,,,,
Ending balance,Ending balance,Ending balance,"2,820,046,314,043","7,349,470,845,236","2,065,169,299,160","130,522,788,726","66,676,867,515","12,431,886,114,680",,,,,,
In which: Pledged as loan security (Note 22),In which: Pledged as loan security (Note 22),In which: Pledged as loan security (Note 22),"2,777,809,115,218","7,267,825,561,540","2,063,421,444,652","121,737,401,282","58,692,350,589","12,289,485,873,281",,,,,,
