row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,29.452.119.675,71.152.947.253,(43.699.645.837),56.905.421.091,29452119675.0,71152947253.0,-43699645837.0,56905421091.0
"Thuế giá trị gia tăng (""GTGT"")","Phải nộp > Thuế giá trị gia tăng (""GTGT"")","Thuế giá trị gia tăng (""GTGT"")",12.960.107.052,250.424.256.934,(253.678.151.626),9.706.212.360,12960107052.0,250424256934.0,-253678151626.0,9706212360.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,3.512.481.338,41.142.943.938,(39.286.705.701),5.368.719.575,3512481338.0,41142943938.0,-39286705701.0,5368719575.0
"Thuế thu nhập cá nhân (""TNCN"")","Phải nộp > Thuế thu nhập cá nhân (""TNCN"")","Thuế thu nhập cá nhân (""TNCN"")",2.026.265.482,10.358.980.351,(10.146.847.069),2.238.398.764,2026265482.0,10358980351.0,-10146847069.0,2238398764.0
Khác,Phải nộp > Khác,Khác,89.768,11.425.717.811,(11.218.581.073),207.226.506,89768.0,11425717811.0,-11218581073.0,207226506.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,47.951.063.315,384.504.846.287,(358.029.931.306),74.425.978.296,47951063315.0,384504846287.0,-358029931306.0,74425978296.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế TNCN,Phải thu > Thuế TNCN,Thuế TNCN,-,3.458.971,(3.458.971),-,,3458971.0,-3458971.0,
Thuế GTGT,Phải thu > Thuế GTGT,Thuế GTGT,14.876.028.582,73.163.346.630,(53.360.479.798),34.678.895.414,14876028582.0,73163346630.0,-53360479798.0,34678895414.0
Khác,Phải thu > Khác,Khác,134.205.649,359.175.000,(3.000.000),490.380.649,134205649.0,359175000.0,-3000000.0,490380649.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,15.010.234.231,73.525.980.601,(53.366.938.769),35.169.276.063,15010234231.0,73525980601.0,-53366938769.0,35169276063.0
