row_label_raw,row_label_full,Beginning balance,"20,654,165,174","766,633,168",-,"21,420,798,342","numeric__20,654,165,174","numeric__766,633,168",numeric__-,"numeric__21,420,798,342"
Ending balance,Ending balance,Ending balance,"19,747,981,478","489,883,170",-,"20,237,864,648",,,,
In which:,In which:,In which:,In which:,In which:,In which:,In which:,,,,
Pledged as loan security (Note 22),Pledged as loan security (Note 22),Pledged as loan security (Note 22),"10,869,328,283",-,-,"10,869,328,283",,,,
