row_label_raw,row_label_full,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,VND Tổng cộng,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__VND Tổng cộng
96.354.085.823,96.354.085.823,96.354.085.823,178.508.233.688,1.417.266.004.987,5.767.322.391.982,178508233688.0,1417266004987.0,5767322391982.0
-,-,-,114.823.028.545,(22.749.638.463),92.073.390.082,114823028545.0,-22749638463.0,92073390082.0
,,,6.804.009.016,(5.740.545.423),1.063.463.593,6804009016.0,-5740545423.0,1063463593.0
-,-,-,-,200.000.000,200.000.000,,200000000.0,200000000.0
-,-,-,(30.522.176.434),(45.649.453.366),(76.171.629.800),-30522176434.0,-45649453366.0,-76171629800.0
-,-,-,(15.006.528.380),(4.818.393.061),(19.824.921.441),-15006528380.0,-4818393061.0,-19824921441.0
(173.671.938),(173.671.938),(173.671.938),-,-,(173.671.938),,,-173671938.0
-,-,-,(170.589.700.000),-,-,-170589700000.0,,
-,-,-,(941.462.752),941.462.752,-,-941462752.0,941462752.0,
96.180.413.885,96.180.413.885,96.180.413.885,83.075.403.683,1.339.449.437.426,5.764.489.022.478,83075403683.0,1339449437426.0,5764489022478.0
96.180.413.885,96.180.413.885,96.180.413.885,83.075.403.683,1.339.449.437.426,5.764.489.022.478,83075403683.0,1339449437426.0,5764489022478.0
-,-,-,708.521.811.800,238.257.041.320,946.778.853.120,708521811800.0,238257041320.0,946778853120.0
-,-,-,(2.633.467),2.633.467,-,-2633467.0,2633467.0,
-,-,-,-,(35.965.091.600),(35.965.091.600),,-35965091600.0,-35965091600.0
-,-,-,(40.878.066.000),-,(40.878.066.000),-40878066000.0,,-40878066000.0
-,-,-,(44.757.588.114),(8.677.972.886),(53.435.561.000),-44757588114.0,-8677972886.0,-53435561000.0
-,-,-,-,-,(83.277.171.171),,,-83277171171.0
96.180.413.885,96.180.413.885,96.180.413.885,705.958.927.902,1.533.066.047.727,6.497.711.985.827,705958927902.0,1533066047727.0,6497711985827.0
