row_label_raw,row_label_full,col_0,VND,VND_1,VND_2,VND_3,numeric__VND,numeric__VND_1,numeric__VND_2,numeric__VND_3
,,,Beginning balance,Increase in the year,Decrease in the year,Ending balance,,,,
Payables,Payables,Payables,Payables,Payables,Payables,Payables,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"29,452,119,675","71,152,947,253","(43,699,645,837)","56,905,421,091",,,,
"Value added tax (""VAT"")","Value added tax (""VAT"")","Value added tax (""VAT"")","12,960,107,052","250,424,256,934","(253,678,151,626)","9,706,212,360",,,,
Natural resource tax,Natural resource tax,Natural resource tax,"3,512,481,338","41,142,943,938","(39,286,705,701)","5,368,719,575",,,,
"Personal income tax (""PIT"")","Personal income tax (""PIT"")","Personal income tax (""PIT"")","2,026,265,482","10,358,980,351","(10,146,847,069)","2,238,398,764",,,,
Other taxes and fees,"Personal income tax (""PIT"") > Other taxes and fees",Other taxes and fees,"89,768","11,425,717,811","(11,218,581,073)","207,226,506",89.768,,,
TOTAL,TOTAL,TOTAL,"47,951,063,315","384,504,846,287","(358,029,931,306)","74,425,978,296",,,,
Receivables,Receivables,Receivables,Receivables,Receivables,Receivables,Receivables,,,,
PIT,PIT,PIT,-,"3,458,971","(3,458,971)",-,,,,
VAT,VAT,VAT,"14,876,028,582","73,163,346,630","(53,360,479,798)","34,678,895,414",,,,
Other taxes and fees,Other taxes and fees,Other taxes and fees,"134,205,649","359,175,000","(3,000,000)","490,380,649",,,,
TOTAL,TOTAL,TOTAL,"15,010,234,231","73,525,980,601","(53,366,938,769)","35,169,276,063",,,,
