row_label_raw,row_label_full,col_0,Máy móc thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Đơn vị tính: VND Tổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 01 tháng 01 năm 2025,Nguyên giá > Ngày 01 tháng 01 năm 2025,Ngày 01 tháng 01 năm 2025,366.015.281.325,38.329.798.127,4.015.042.338,408.360.121.790,366015281325.0,38329798127.0,4015042338.0,408360121790.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,8.913.623.900,1.614.450.000,-,10.528.073.900,8913623900.0,1614450000.0,,10528073900.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.052.214.120,1.614.450.000,-,7.666.664.120,6052214120.0,1614450000.0,,7666664120.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,2.861.409.780,-,-,2.861.409.780,2861409780.0,,,2861409780.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(10.841.819.772),(3.264.375.636),(146.150.840),(14.252.346.248),-10841819772.0,-3264375636.0,-146150840.0,-14252346248.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(10.841.819.772),(3.264.375.636),(146.150.840),(14.252.346.248),-10841819772.0,-3264375636.0,-146150840.0,-14252346248.0
Ngày 31 tháng 12 năm 2025,Nguyên giá > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,364.087.085.453,36.679.872.491,3.868.891.498,404.635.849.442,364087085453.0,36679872491.0,3868891498.0,404635849442.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Ngày 01 tháng 01 năm 2025,Giá trị hao mòn lũy kế > Ngày 01 tháng 01 năm 2025,Ngày 01 tháng 01 năm 2025,267.409.712.967,18.826.408.336,3.617.280.588,289.853.401.891,267409712967.0,18826408336.0,3617280588.0,289853401891.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,43.966.727.551,3.697.829.701,375.957.425,48.040.514.677,43966727551.0,3697829701.0,375957425.0,48040514677.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,43.251.375.114,3.697.829.701,375.957.425,47.325.162.240,43251375114.0,3697829701.0,375957425.0,47325162240.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,715.352.437,-,-,715.352.437,715352437.0,,,715352437.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(10.649.897.387),(2.583.053.413),(146.150.840),(13.379.101.640),-10649897387.0,-2583053413.0,-146150840.0,-13379101640.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(10.649.897.387),(2.583.053.413),(146.150.840),(13.379.101.640),-10649897387.0,-2583053413.0,-146150840.0,-13379101640.0
Ngày 31 tháng 12 năm 2025,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,300.726.543.131,19.941.184.624,3.847.087.173,324.514.814.928,300726543131.0,19941184624.0,3847087173.0,324514814928.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 01 tháng 01 năm 2025,Giá trị còn lại > Ngày 01 tháng 01 năm 2025,Ngày 01 tháng 01 năm 2025,98.605.568.358,19.503.389.791,397.761.750,118.506.719.899,98605568358.0,19503389791.0,397761750.0,118506719899.0
Ngày 31 tháng 12 năm 2025,Giá trị còn lại > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,63.360.542.322,16.738.687.867,21.804.325,80.121.034.514,63360542322.0,16738687867.0,21804325.0,80121034514.0
