row_label_raw,row_label_full,Các loại tài sảntài chính,Số cuối năm > Giá mua/Giá gốc,Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua/Giá gốc,Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Số cuối năm > Giá mua/Giá gốc,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua/Giá gốc,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
FVTPL,FVTPL,FVTPL,38.366.065.463.239,53.001.256.212,(161.410.326.481),38.257.656.392.970,42.619.611.622.865,56.638.638.355,(238.128.779.819),42.438.121.481.401,38366065463239.0,53001256212.0,-161410326481.0,38257656392970.0,42619611622865.0,56638638355.0,-238128779819.0,42438121481401.0
"Cổ phiếu vàchứng khoànniểm yết, đăngký giao dịchUPCoM khác","Cổ phiếu vàchứng khoànniểm yết, đăngký giao dịchUPCoM khác","Cổ phiếu vàchứng khoànniểm yết, đăngký giao dịchUPCoM khác",527.450.899.335,33.890.955.509,(2.423.301.767),558.918.553.077,1.613.732.331.633,28.225.058.045,(17.961.510.014),1.623.995.879.664,527450899335.0,33890955509.0,-2423301767.0,558918553077.0,1613732331633.0,28225058045.0,-17961510014.0,1623995879664.0
Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,1.134.246.866.577,17.357.298.627,(22.873.642.654),1.128.730.522.550,968.809.795.708,28.385.827.886,(2.698.942.144),994.496.681.450,1134246866577.0,17357298627.0,-22873642654.0,1128730522550.0,968809795708.0,28385827886.0,-2698942144.0,994496681450.0
Cổ phiếu vàChứng chỉ Quỳchưa niêm yết,Cổ phiếu vàChứng chỉ Quỳchưa niêm yết,Cổ phiếu vàChứng chỉ Quỳchưa niêm yết,97.309.066.913,636.263.623,(20.775.434.134),77.169.896.402,70.306.080.610,-,(20.818.797.929),49.487.282.681,97309066913.0,636263623.0,-20775434134.0,77169896402.0,70306080610.0,,-20818797929.0,49487282681.0
Trải phiếu niêmyết,Trải phiếu niêmyết,Trải phiếu niêmyết,4.591.708.914.865,1.116.738.453,(115.337.947.926),4.477.487.705.392,6.188.270.963.139,27.752.424,(196.649.529.732),5.991.649.185.831,4591708914865.0,1116738453.0,-115337947926.0,4477487705392.0,6188270963139.0,27752424.0,-196649529732.0,5991649185831.0
Trải phiếu chưaniêm yết,Trải phiếu chưaniêm yết,Trải phiếu chưaniêm yết,8.807.543.841.436,-,-,8.807.543.841.436,9.041.780.224.727,-,-,9.041.780.224.727,8807543841436.0,,,8807543841436.0,9041780224727.0,,,9041780224727.0
Chứng chỉ tiêngửi,Chứng chỉ tiêngửi,Chứng chỉ tiêngửi,23.207.805.874.113,-,-,23.207.805.874.113,24.736.712.227.048,-,-,24.736.712.227.048,23207805874113.0,,,23207805874113.0,24736712227048.0,,,24736712227048.0
AFS,AFS,AFS,547.422.791.415,51.949.031.032,-,599.371.822.447,522.719.754.651,44.354.388.557,(4.741.291.386),562.332.851.822,547422791415.0,51949031032.0,,599371822447.0,522719754651.0,44354388557.0,-4741291386.0,562332851822.0
"Cổ phiếu vàchứng khoànniêm yết, đăngký giao dịchUPCoM khác","Cổ phiếu vàchứng khoànniêm yết, đăngký giao dịchUPCoM khác","Cổ phiếu vàchứng khoànniêm yết, đăngký giao dịchUPCoM khác",119.822.281.043,49.006.511.032,-,168.828.792.075,71.675.281.043,44.354.388.557,-,116.029.669.600,119822281043.0,49006511032.0,,168828792075.0,71675281043.0,44354388557.0,,116029669600.0
Cổ phiếu vàChứng chỉ Quỳchưa niêm yết,Cổ phiếu vàChứng chỉ Quỳchưa niêm yết,Cổ phiếu vàChứng chỉ Quỳchưa niêm yết,379.600.375.621,2.942.520.000,-,382.542.895.621,342.764.891.142,-,(4.741.291.386),338.023.599.756,379600375621.0,2942520000.0,,382542895621.0,342764891142.0,,-4741291386.0,338023599756.0
Trải phiếu chưaniêm yết,Trải phiếu chưaniêm yết,Trải phiếu chưaniêm yết,48.000.134.751,-,-,48.000.134.751,108.279.582.466,-,-,108.279.582.466,48000134751.0,,,48000134751.0,108279582466.0,,,108279582466.0
Tổng cộng,Tổng cộng,Tổng cộng,38.913.488.254.654,104.950.287.244,(161.410.326.481),38.857.028.215.417,43.142.331.377.516,100.993.026.912,(242.870.071.205),43.000.454.333.223,38913488254654.0,104950287244.0,-161410326481.0,38857028215417.0,43142331377516.0,100993026912.0,-242870071205.0,43000454333223.0
