row_label_raw,row_label_full,Danh sách bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Chủ sở hữu và Chủ tịch của Công ty TNHH Đầu tư NDH là Chủ tịch Hội đồng Quản trị SSI,
Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Thành viên Hội đồng Quản trị SSI Nguyễn Duy Khánh đồng thời là Tổng Giám đốc NDH,
Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,"Cổ đông chiến lược nằm giữ tỷ lệ khoảng 15,34% vốn có quyền biểu quyết của SSI",
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,"Chủ tịch Hội đồng Quản trị SSI cũng là chủ tịch Hội đồng Quản trị của PAN, công ty liên kết",
Quỹ Đầu tư Công nghệ số và Y tế Việt Nam (1),Quỹ Đầu tư Công nghệ số và Y tế Việt Nam (1),Quỹ Đầu tư Công nghệ số và Y tế Việt Nam (1),Công ty liên kết (Đến hết ngày 02 tháng 10 năm 2025),
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Thành viên Hội đồng Quản trị SSI là Chủ tịch Hội đồng thành viên của Công ty TNHH Bất động sản Sài Gòn Đan Linh,
Công ty TNHH Một thành viên Nguyễn Sài Gòn,Công ty TNHH Một thành viên Nguyễn Sài Gòn,Công ty TNHH Một thành viên Nguyễn Sài Gòn,Chủ tịch Công ty TNHH Một thành viên Nguyễn Sài Gòn là em Chủ tịch Hội đồng Quản trị SSI,
Công ty Cổ Phần Công nghệ số SSI (2),Công ty Cổ Phần Công nghệ số SSI (2),Công ty Cổ Phần Công nghệ số SSI (2),Chủ tịch Hội đồng Quản trị SSI cũng là chủ tịch Hội đồng Quản trị của Công ty Cổ phần Công nghệ số SSI,
Công ty Cổ Phần Công nghệ số SSI (2),Công ty Cổ Phần Công nghệ số SSI (2),Công ty Cổ Phần Công nghệ số SSI (2),Công ty con được sở hữu gián tiếp qua Quỹ Đầu tư Thành Viên SSI (Đến hết ngày 04 tháng 6 năm 2025),
Công ty Cổ Phần Công nghệ số SSI (2),Công ty Cổ Phần Công nghệ số SSI (2),Công ty Cổ Phần Công nghệ số SSI (2),Công ty liên kết được sở hữu gián tiếp qua Quỹ Đầu tư Thành Viên SSI (Đến hết ngày 12 tháng 10 năm 2025),
