row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
"Cổ phiếu và chứng khoán niêm yết, đăng ký giao dịch UPCoM khác","Cổ phiếu và chứng khoán niêm yết, đăng ký giao dịch UPCoM khác","Cổ phiếu và chứng khoán niêm yết, đăng ký giao dịch UPCoM khác",119.822.281.043,168.828.792.075,71.675.281.043,116.029.669.600,119822281043.0,168828792075.0,71675281043.0,116029669600.0
DVN,DVN,DVN,71.675.281.043,98.463.424.800,71.675.281.043,116.029.669.600,71675281043.0,98463424800.0,71675281043.0,116029669600.0
Cổ phiếu và chứng khoán khác,Cổ phiếu và chứng khoán khác,Cổ phiếu và chứng khoán khác,48.147.000.000,70.365.367.275,-,-,48147000000.0,70365367275.0,,
Cổ phiếu và chứng chỉ quỹ chưa niêm yết,Cổ phiếu và chứng chỉ quỹ chưa niêm yết,Cổ phiếu và chứng chỉ quỹ chưa niêm yết,379.600.375.621,382.542.895.621,342.764.891.142,338.023.599.756,379600375621.0,382542895621.0,342764891142.0,338023599756.0
Công ty Cổ phần Công nghệ số SSI,Công ty Cổ phần Công nghệ số SSI,Công ty Cổ phần Công nghệ số SSI,150.000.000.000,150.000.000.000,-,-,150000000000.0,150000000000.0,,
Công ty Cổ phần PAN Farm,Công ty Cổ phần PAN Farm,Công ty Cổ phần PAN Farm,32.000.014.000,32.000.014.000,32.000.014.000,32.000.014.000,32000014000.0,32000014000.0,32000014000.0,32000014000.0
Công ty Cổ phần ConCung,Công ty Cổ phần ConCung,Công ty Cổ phần ConCung,-,-,40.007.139.216,40.007.139.216,,,40007139216.0,40007139216.0
Cổ phiếu và chứng chỉ quỹ khác,Cổ phiếu và chứng chỉ quỹ khác,Cổ phiếu và chứng chỉ quỹ khác,197.600.361.621,200.542.881.621,270.757.737.926,266.016.446.540,197600361621.0,200542881621.0,270757737926.0,266016446540.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,48.000.134.751,48.000.134.751,108.279.582.466,108.279.582.466,48000134751.0,48000134751.0,108279582466.0,108279582466.0
Tổng cộng,Tổng cộng,Tổng cộng,547.422.791.415,599.371.822.447,522.719.754.651,562.332.851.822,547422791415.0,599371822447.0,522719754651.0,562332851822.0
