row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Dự phòng giảm giá chứng khoán chưa niêm yết tạm thời không được khấu trừ thuế,Tài sản thuế thu nhập hoãn lại > Dự phòng giảm giá chứng khoán chưa niêm yết tạm thời không được khấu trừ thuế,Dự phòng giảm giá chứng khoán chưa niêm yết tạm thời không được khấu trừ thuế,-,9.055.817.812,,9055817812.0
Thuế TNDN hoãn lại phát sinh do phần đánh giá giảm tài sản tài chính FVTPL và AFS tạm thời không được khấu trừ thuế,Tài sản thuế thu nhập hoãn lại > Thuế TNDN hoãn lại phát sinh do phần đánh giá giảm tài sản tài chính FVTPL và AFS tạm thời không được khấu trừ thuế,Thuế TNDN hoãn lại phát sinh do phần đánh giá giảm tài sản tài chính FVTPL và AFS tạm thời không được khấu trừ thuế,3.491.314.303,4.439.572.576,3491314303.0,4439572576.0
Dự phòng suy giảm giá trị các khoản cho vay tạm thời không được khấu trừ thuế,Tài sản thuế thu nhập hoãn lại > Dự phòng suy giảm giá trị các khoản cho vay tạm thời không được khấu trừ thuế,Dự phòng suy giảm giá trị các khoản cho vay tạm thời không được khấu trừ thuế,1.765.587,7.897.516,1765587.0,7897516.0
Chi phí tạm thời chịu thuế phát sinh,Tài sản thuế thu nhập hoãn lại > Chi phí tạm thời chịu thuế phát sinh,Chi phí tạm thời chịu thuế phát sinh,-,400.000.000,,400000000.0
Doanh thu chưa thực hiện do hợp nhất báo cáo tài chính,Tài sản thuế thu nhập hoãn lại > Doanh thu chưa thực hiện do hợp nhất báo cáo tài chính,Doanh thu chưa thực hiện do hợp nhất báo cáo tài chính,9.668.606.509,10.097.817.977,9668606509.0,10097817977.0
Tổng cộng,Tài sản thuế thu nhập hoãn lại > Tổng cộng,Tổng cộng,13.161.686.399,24.001.105.881,13161686399.0,24001105881.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Thuế TNDN hoãn lại phát sinh do phần đánh giá tăng tài sản tài chính FVTPL,Thuế thu nhập hoãn lại phải trả > Thuế TNDN hoãn lại phát sinh do phần đánh giá tăng tài sản tài chính FVTPL,Thuế TNDN hoãn lại phát sinh do phần đánh giá tăng tài sản tài chính FVTPL,8.565.593.736,11.223.093.875,8565593736.0,11223093875.0
Thuế TNDN hoãn lại phát sinh do phần đánh giá lại tài sản tài chính AFS,Thuế thu nhập hoãn lại phải trả > Thuế TNDN hoãn lại phát sinh do phần đánh giá lại tài sản tài chính AFS,Thuế TNDN hoãn lại phát sinh do phần đánh giá lại tài sản tài chính AFS,10.389.806.206,8.870.877.711,10389806206.0,8870877711.0
Thuế TNDN hoãn lại phát sinh do phần đánh giá giảm phải trả chứng quyền đang lưu hành,Thuế thu nhập hoãn lại phải trả > Thuế TNDN hoãn lại phát sinh do phần đánh giá giảm phải trả chứng quyền đang lưu hành,Thuế TNDN hoãn lại phát sinh do phần đánh giá giảm phải trả chứng quyền đang lưu hành,9.979.544.144,7.437.571.090,9979544144.0,7437571090.0
Thuế TNDN hoãn lại phát sinh do thu nhập của công ty con tạm thời không chịu thuế,Thuế thu nhập hoãn lại phải trả > Thuế TNDN hoãn lại phát sinh do thu nhập của công ty con tạm thời không chịu thuế,Thuế TNDN hoãn lại phát sinh do thu nhập của công ty con tạm thời không chịu thuế,(498.073.802),(881.001.386),-498073802.0,-881001386.0
Tổng cộng,Thuế thu nhập hoãn lại phải trả > Tổng cộng,Tổng cộng,28.436.870.284,26.650.541.290,28436870284.0,26650541290.0
