row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
,,,A. TÀI SẢN CỦA CÔNG TY CHỨNG KHOÁN (CTCK) VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT,,,,,,,
004,004,004,Nợ khó đòi đã xử lý (VND),,44.743.311.901,44.493.312.525,,,44743311901.0,44493312525.0
005,005,005,Ngoại tệ các loại USD EUR GBP,31.1,"3.323.297,05 102,15 -","336.561,71 101,80 107,64",,311.0,,
006,006,006,Cổ phiếu đang lưu hành (số lượng),30.4,2.075.914.794,1.961.872.450,,304.0,2075914794.0,1961872450.0
007,007,007,Cổ phiếu quỹ (số lượng),30.4,1.991.468,1.991.468,,304.0,1991468.0,1991468.0
008,008,008,"Tài sản tài chính niêm yết/đăng ký giao dịch tại Tổng Công ty Lưu ký và Bù trừ chứng khoán Việt Nam (""VSDC"") của CTCK (VND)",31.2,9.854.133.265.000,7.187.812.570.000,,312.0,9854133265000.0,7187812570000.0
009,009,009,Tài sản tài chính đã lưu ký tại VSDC và chưa giao dịch của CTCK (VND),31.3,10.490.820.000,525.880.220.000,,313.0,10490820000.0,525880220000.0
010,010,010,Tài sản tài chính chờ về của CTCK (VND),31.4,28.259.000.000,23.542.100.000,,314.0,28259000000.0,23542100000.0
012,012,012,Tài sản tài chính chưa lưu ký tại VSDC của CTCK (VND),31.5,7.532.157.997.300,9.646.573.797.300,,315.0,7532157997300.0,9646573797300.0
013,013,013,Tài sản tài chính được hưởng quyền của CTCK (VND),,579.950.000,2.768.230.000,,,579950000.0,2768230000.0
014,014,014,Chứng quyền (Số lượng),,49.374.000,1.033.885.200,,,49374000.0,1033885200.0
,,,B. TÀI SẢN VÀ CÁC KHOÀN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG,,,,,,,
021,021,021,Tài sản tài chính niêm yết/đăng ký giao dịch tại VSDC của Nhà đầu tư (VND),31.6,151.444.360.599.590,119.604.922.696.400,,316.0,151444360599590.0,119604922696400.0
021.1,021.1,021.1,Tài sản tài chính giao dịch tự do chuyển nhượng,,132.974.358.609.590,102.694.055.926.400,,,132974358609590.0,102694055926400.0
021.2,021.2,021.2,Tài sản tài chính hạn chế chuyển nhượng,,4.838.383.310.000,4.982.805.830.000,,,4838383310000.0,4982805830000.0
021.3,021.3,021.3,Tài sản tài chính giao dịch cẩm cố,,13.129.775.950.000,11.310.605.310.000,,,13129775950000.0,11310605310000.0
021.4,021.4,021.4,"Tài sản tài chính phong tỏa, tạm giữ",,20.928.350.000,20.725.970.000,,,20928350000.0,20725970000.0
021.5,021.5,021.5,Tài sản tài chính chờ thanh toán,,480.914.380.000,596.729.660.000,,,480914380000.0,596729660000.0
