row_label_raw,row_label_full,Năm 2025,Môi giới và dịch vụ khách hàng > Năm 2025,Tự doanh > Năm 2025,Kinh doanh nguồn vốn > Năm 2025,Quản lý danh mục > Năm 2025,Ngân hàng đầu tư và các bộ phận khác > Năm 2025,Đơn vị tính: VND Tổng cộng > Năm 2025,numeric__Môi giới và dịch vụ khách hàng > Năm 2025,numeric__Tự doanh > Năm 2025,numeric__Kinh doanh nguồn vốn > Năm 2025,numeric__Quản lý danh mục > Năm 2025,numeric__Ngân hàng đầu tư và các bộ phận khác > Năm 2025,numeric__Đơn vị tính: VND Tổng cộng > Năm 2025
1. Doanh thu thuần hoạt động kinh doanh chứng khoản (1),1. Doanh thu thuần hoạt động kinh doanh chứng khoản (1),1. Doanh thu thuần hoạt động kinh doanh chứng khoản (1),5.998.915.625.368,6.263.620.853.315,605.754.033.960,179.732.189.284,72.628.699.382,13.120.651.401.309,5998915625368.0,6263620853315.0,605754033960.0,179732189284.0,72628699382.0,13120651401309.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2.810.818.819.974,4.451.533.973.742,356.133.260.619,91.715.919.109,66.891.187.966,7.777.093.161.410,2810818819974.0,4451533973742.0,356133260619.0,91715919109.0,66891187966.0,7777093161410.0
3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,210.291.484.527,9.120.448.524,20.846.739.482,11.986.875.203,8.338.695.792,260.584.243.528,210291484527.0,9120448524.0,20846739482.0,11986875203.0,8338695792.0,260584243528.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,2.977.805.320.867,1.802.966.431.049,228.774.033.859,76.029.394.972,(2.601.184.376),5.082.973.996.371,2977805320867.0,1802966431049.0,228774033859.0,76029394972.0,-2601184376.0,5082973996371.0
Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2025 > 1. Tài sản bộ phận,1. Tài sản bộ phận,38.981.684.726.689,41.777.251.153.269,8.720.286.477.720,61.836.211.466,15.511.514.646,89.556.570.083.790,38981684726689.0,41777251153269.0,8720286477720.0,61836211466.0,15511514646.0,89556570083790.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2025 > 2. Tài sản phân bổ,2. Tài sản phân bổ,647.692.164.961,28.090.738.257,64.207.401.731,36.919.255.995,25.682.960.692,802.592.521.637,647692164961.0,28090738257.0,64207401731.0,36919255995.0,25682960692.0,802592521637.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2025 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,,,,,,3.690.816.790.756,,,,,,3690816790756.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2025 > Tổng tài sản,Tổng tài sản,39.629.376.891.650,41.805.341.891.526,8.784.493.879.451,98.755.467.461,41.194.475.338,94.049.979.396.183,39629376891650.0,41805341891526.0,8784493879451.0,98755467461.0,41194475338.0,94049979396183.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2025 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,27.162.819.304.977,27.964.762.150.798,5.538.186.167.182,6.813.197.195,6.563.548.451,60.679.144.368.603,27162819304977.0,27964762150798.0,5538186167182.0,6813197195.0,6563548451.0,60679144368603.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2025 > 5. Nợ phân bổ,5. Nợ phân bổ,445.238.855.201,19.310.235.356,44.137.680.813,25.379.166.467,17.655.072.325,551.721.010.162,445238855201.0,19310235356.0,44137680813.0,25379166467.0,17655072325.0,551721010162.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2025 > 6. Nợ không phân bổ,6. Nợ không phân bổ,,,,,,752.795.556.656,,,,,,752795556656.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2025 > Tổng công nợ,Tổng công nợ,27.608.058.160.178,27.984.072.386.154,5.582.323.847.995,32.192.363.662,24.218.620.776,61.983.660.935.421,27608058160178.0,27984072386154.0,5582323847995.0,32192363662.0,24218620776.0,61983660935421.0
