row_label_raw,row_label_full,(Hoàn nhập)/trích lập dự phòng suy giảm giá trị các khoản cho vay,Năm nay > (101.112.723),Đơn vị tính: VNDNăm trước > 3.770.736,numeric__Năm nay > (101.112.723),numeric__Đơn vị tính: VNDNăm trước > 3.770.736
Hoàn nhập phải thu tiền bán chứng khoán khó đòi,Hoàn nhập phải thu tiền bán chứng khoán khó đòi,Hoàn nhập phải thu tiền bán chứng khoán khó đòi,(41.430.209.228),-,-41430209228.0,
(Hoàn nhập)/trích lập dự phòng suy giảm giá trị tài sản tài chính AFS,(Hoàn nhập)/trích lập dự phòng suy giảm giá trị tài sản tài chính AFS,(Hoàn nhập)/trích lập dự phòng suy giảm giá trị tài sản tài chính AFS,(392.457.705),34.732.623.791,-392457705.0,34732623791.0
Tổng cộng,Tổng cộng,Tổng cộng,(41.923.779.656),34.736.394.527,-41923779656.0,34736394527.0
