row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
1. Các khoản phải thu bán các tài sản tài chính,1. Các khoản phải thu bán các tài sản tài chính,1. Các khoản phải thu bán các tài sản tài chính,192.130.223.980,507.766.978.808,192130223980.0,507766978808.0
Trong đó các khoản phải thu về bán các tài sản tài chính khó có khả năng thu hồi,Trong đó các khoản phải thu về bán các tài sản tài chính khó có khả năng thu hồi,Trong đó các khoản phải thu về bán các tài sản tài chính khó có khả năng thu hồi,190.191.227.580,231.621.436.808,190191227580.0,231621436808.0
"2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính (*)","2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính (*)","2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính (*)",381.485.372.339,292.847.293.114,381485372339.0,292847293114.0
3. Trả trước cho người bán,3. Trả trước cho người bán,3. Trả trước cho người bán,1.576.813.407.177,927.764.853.829,1576813407177.0,927764853829.0
- Ứng trước tiền mua chứng khoán,- Ứng trước tiền mua chứng khoán,- Ứng trước tiền mua chứng khoán,1.503.000.000.000,795.000.000.000,1503000000000.0,795000000000.0
- Ứng trước mua bất động sản của công ty con,- Ứng trước mua bất động sản của công ty con,- Ứng trước mua bất động sản của công ty con,,88.378.500.000,,88378500000.0
- Khác,- Khác,- Khác,73.813.407.177,44.386.353.829,73813407177.0,44386353829.0
4. Phải thu các dịch vụ CTCK cung cấp,4. Phải thu các dịch vụ CTCK cung cấp,4. Phải thu các dịch vụ CTCK cung cấp,33.294.883.844,30.201.748.046,33294883844.0,30201748046.0
Trong đó phải thu khó đòi các dịch vụ CTCK cung cấp,Trong đó phải thu khó đòi các dịch vụ CTCK cung cấp,Trong đó phải thu khó đòi các dịch vụ CTCK cung cấp,486.622.498,566.622.498,486622498.0,566622498.0
5. Các khoản phải thu khác,5. Các khoản phải thu khác,5. Các khoản phải thu khác,523.726.032.105,210.104.950.765,523726032105.0,210104950765.0
6. Dự phòng phải thu khó đòi,6. Dự phòng phải thu khó đòi,6. Dự phòng phải thu khó đòi,(190.492.456.636),(232.039.957.803),-190492456636.0,-232039957803.0
Tổng cộng,Tổng cộng,Tổng cộng,2.516.957.462.809,1.736.645.866.759,2516957462809.0,1736645866759.0
