row_label_raw,row_label_full,col_0,Đơn vị tính: VNDPhần mềm,Đơn vị tính: VNDPhần mềm_1,numeric__Đơn vị tính: VNDPhần mềm,numeric__Đơn vị tính: VNDPhần mềm_1
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Ngày 01 tháng 01 năm 2025,Nguyên giá > Ngày 01 tháng 01 năm 2025,Ngày 01 tháng 01 năm 2025,,313.999.554.731,,313999554731.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,,35.454.962.708,,35454962708.0
Mua mới,Nguyên giá > Mua mới,Mua mới,,35.454.962.708,,35454962708.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,,(15.481.382.945),,-15481382945.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,(15.240.382.945),,-15240382945.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,,(241.000.000),,-241000000.0
Ngày 31 tháng 12 năm 2025,Nguyên giá > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,,333.973.134.494,,333973134494.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Ngày 01 tháng 01 năm 2025,Giá trị hao mòn lũy kế > Ngày 01 tháng 01 năm 2025,Ngày 01 tháng 01 năm 2025,,201.155.598.936,,201155598936.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,,41.146.372.196,,41146372196.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,,41.146.372.196,,41146372196.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,,(15.314.849.619),,-15314849619.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,(15.222.466.278),,-15222466278.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,,(92.383.341),,-92383341.0
Ngày 31 tháng 12 năm 2025,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,,226.987.121.513,,226987121513.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Ngày 01 tháng 01 năm 2025,Giá trị còn lại > Ngày 01 tháng 01 năm 2025,Ngày 01 tháng 01 năm 2025,,112.843.955.795,,112843955795.0
Ngày 31 tháng 12 năm 2025,Giá trị còn lại > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,,106.986.012.981,,106986012981.0
Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,Các thông tin khác về tài sản cố định vô hình:,,
,,,Số cuối năm,Đơn vị tính: VNDSố đầu năm,,
Nguyên giá TSCĐ vô hình đã hao mòn hết nhưng vấn còn sử dụng,Các thông tin khác về tài sản cố định vô hình: > Nguyên giá TSCĐ vô hình đã hao mòn hết nhưng vấn còn sử dụng,Nguyên giá TSCĐ vô hình đã hao mòn hết nhưng vấn còn sử dụng,117.896.066.121,120.592.419.066,117896066121.0,120592419066.0
