row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Ngày 01 tháng 01năm 2025,Tăng trong năm,Giảm trong năm,Ngày 31 tháng 12năm 2025,Doanh thu(chi phí),numeric__Giao dịch,numeric__Ngày 01 tháng 01năm 2025,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Ngày 31 tháng 12năm 2025,numeric__Doanh thu(chi phí)
Daiwa Capital Markets America Inc. (Bên liên quan của Daiwa Securities Group Inc),Daiwa Capital Markets America Inc. (Bên liên quan của Daiwa Securities Group Inc),Daiwa Capital Markets America Inc. (Bên liên quan của Daiwa Securities Group Inc),Phí hoa hồng phải trả,(175.140.135),(1.308.678.117),1.460.120.174,(23.698.078),(1.308.678.117),,-175140135.0,-1308678117.0,1460120174.0,-23698078.0,-1308678117.0
Daiwa Capital Markets Singapore Limited (Bên liên quan của Daiwa Securities Group Inc),Daiwa Capital Markets Singapore Limited (Bên liên quan của Daiwa Securities Group Inc),Daiwa Capital Markets Singapore Limited (Bên liên quan của Daiwa Securities Group Inc),Phí hoa hồng phải trả,(205.098.258),(478.106.084),-,(683.204.342),(478.106.084),,-205098258.0,-478106084.0,,-683204342.0,-478106084.0
Daiwa Capital Markets HongKong Limited (Bên liên quan của Daiwa Securities Group Inc),Daiwa Capital Markets HongKong Limited (Bên liên quan của Daiwa Securities Group Inc),Daiwa Capital Markets HongKong Limited (Bên liên quan của Daiwa Securities Group Inc),Phí hoa hồng phải trả,(1.997.167.889),(7.124.949.767),8.442.876.092,(679.241.564),(7.124.949.767),,-1997167889.0,-7124949767.0,8442876092.0,-679241564.0,-7124949767.0
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Doanh thu giao dịch và dịch vụ chứng khoán khácCổ tức SSI,-,74.176.632(3.250.001.000),(74.176.632)3.250.001.000,-,74.176.632-,,,,,,
Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Doanh thu giao dịch và dịch vụ chứng khoán khácĐặt cọc thuê văn phòngChi phí thuê văn phòng và các dịch vụ khácCổ tức SSI,-,68.946.364-,(68.946.364)-,691.524.000,68.946.364-,,,,,691524000.0,
Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Doanh thu giao dịch và dịch vụ chứng khoán khácĐặt cọc thuê văn phòngChi phí thuê văn phòng và các dịch vụ khácCổ tức SSI,691.524.000,68.946.364-,(68.946.364)-,691.524.000,68.946.364-,,691524000.0,,,691524000.0,
Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Doanh thu giao dịch và dịch vụ chứng khoán khácĐặt cọc thuê văn phòngChi phí thuê văn phòng và các dịch vụ khácCổ tức SSI,(31.266.963),(3.468.402.830),3.466.949.406,(32.720.387),(3.468.402.830),,-31266963.0,-3468402830.0,3466949406.0,-32720387.0,-3468402830.0
Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Doanh thu giao dịch và dịch vụ chứng khoán khácĐặt cọc thuê văn phòngChi phí thuê văn phòng và các dịch vụ khácCổ tức SSI,-,(76.571.387.000),76.571.387.000,-,-,,,-76571387000.0,76571387000.0,,
Công ty TNHH Đầu tư NDH,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Đầu tư NDH,Công ty TNHH Đầu tư NDH,Doanh thu giao dịch và dịch vụ chứng khoán khácPhí quản lý danh mụcGiao dịch mua chứng khoán và chứng chỉ tiền gửiGiao dịch bán chứng khoán và chứng chỉ tiến gửiCổ tức SSI,-,1.269.023.88989.701.584,(1.269.023.889)(89.701.584),7.475.132,1.269.023.88989.701.584,,,1.2690238898970158e+17,,7475132.0,1.2690238898970158e+17
Công ty TNHH Đầu tư NDH,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Đầu tư NDH,Công ty TNHH Đầu tư NDH,Doanh thu giao dịch và dịch vụ chứng khoán khácPhí quản lý danh mụcGiao dịch mua chứng khoán và chứng chỉ tiền gửiGiao dịch bán chứng khoán và chứng chỉ tiến gửiCổ tức SSI,7.475.132,1.269.023.88989.701.584,(1.269.023.889)(89.701.584),7.475.132,1.269.023.88989.701.584,,7475132.0,1.2690238898970158e+17,,7475132.0,1.2690238898970158e+17
Công ty TNHH Đầu tư NDH,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Đầu tư NDH,Công ty TNHH Đầu tư NDH,Doanh thu giao dịch và dịch vụ chứng khoán khácPhí quản lý danh mụcGiao dịch mua chứng khoán và chứng chỉ tiền gửiGiao dịch bán chứng khoán và chứng chỉ tiến gửiCổ tức SSI,-,(7.064.289.064.500),7.064.289.064.500,-,-,,,-7064289064500.0,7064289064500.0,,
