row_label_raw,row_label_full,Năm 2024,Môi giới và dịch vụ khách hàng > Năm 2024,Tự doanh > Năm 2024,Kinh doanh nguồn vốn > Năm 2024,Quản lý danh mục > Năm 2024,Ngân hàng đầu tư và các bộ phận khác > Năm 2024,Đơn vị tính: VND Tống cộng > Năm 2024,numeric__Môi giới và dịch vụ khách hàng > Năm 2024,numeric__Tự doanh > Năm 2024,numeric__Kinh doanh nguồn vốn > Năm 2024,numeric__Quản lý danh mục > Năm 2024,numeric__Ngân hàng đầu tư và các bộ phận khác > Năm 2024,numeric__Đơn vị tính: VND Tống cộng > Năm 2024
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,3.804.622.320.654,4.094.096.663.173,505.440.677.425,156.602.900.096,150.317.163.189,8.711.079.724.537,3804622320654.0,4094096663173.0,505440677425.0,156602900096.0,150317163189.0,8711079724537.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2.036.730.899.904,2.420.915.019.902,211.372.298.599,82.115.550.721,114.668.834.763,4.865.802.603.889,2036730899904.0,2420915019902.0,211372298599.0,82115550721.0,114668834763.0,4865802603889.0
3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,243.511.957.048,12.673.484.753,19.311.976.767,16.294.480.397,9.957.738.021,301.749.636.986,243511957048.0,12673484753.0,19311976767.0,16294480397.0,9957738021.0,301749636986.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,1.524.379.463.702,1.660.508.158.518,274.756.402.059,58.192.868.978,25.690.590.405,3.543.527.483.662,1524379463702.0,1660508158518.0,274756402059.0,58192868978.0,25690590405.0,3543527483662.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2024 > 1. Tài sản bộ phận,1. Tài sản bộ phận,22.034.907.599.753,45.244.318.209.882,4.846.420.725.849,62.728.745.251,325.341.567.385,72.513.716.848.120,22034907599753.0,45244318209882.0,4846420725849.0,62728745251.0,325341567385.0,72513716848120.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2024 > 2. Tài sản phân bổ,2. Tài sản phân bổ,601.063.761.836,31.282.128.869,47.668.005.895,40.219.879.974,24.578.815.540,744.812.592.114,601063761836.0,31282128869.0,47668005895.0,40219879974.0,24578815540.0,744812592114.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2024 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,,,,,,248.773.119.488,,,,,,248773119488.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2024 > Tổng tài sản,Tổng tài sản,22.635.971.361.589,45.275.600.338.751,4.894.088.731.744,102.948.625.225,349.920.382.925,73.507.302.559.722,22635971361589.0,45275600338751.0,4894088731744.0,102948625225.0,349920382925.0,73507302559722.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2024 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,13.706.119.280.723,30.941.953.720.618,1.226.189.513.861,10.957.191.296,9.976.999.666,45.895.196.706.164,13706119280723.0,30941953720618.0,1226189513861.0,10957191296.0,9976999666.0,45895196706164.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2024 > 5. Nợ phân bổ,5. Nợ phân bổ,366.358.415.155,19.066.980.714,29.054.446.803,24.514.689.490,14.981.199.133,453.975.731.295,366358415155.0,19066980714.0,29054446803.0,24514689490.0,14981199133.0,453975731295.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2024 > 6. Nợ không phân bổ,6. Nợ không phân bổ,,,,,,331.479.510.495,,,,,,331479510495.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2024 > Tổng công nợ,Tổng công nợ,14.072.477.695.878,30.961.020.701.332,1.255.243.960.664,35.471.880.786,24.958.198.799,46.680.651.947.954,14072477695878.0,30961020701332.0,1255243960664.0,35471880786.0,24958198799.0,46680651947954.0
