row_label_raw,row_label_full,Họ tên,Chức danh,Năm nay,Năm nay_1,Năm trước,Năm trước_1,numeric__Chức danh,numeric__Năm nay,numeric__Năm nay_1,numeric__Năm trước,numeric__Năm trước_1
Họ tên,Họ tên,Họ tên,Chức danh,Tiền lương,Thù lao,Tiền lương,Thù lao,,,,,
Nguyễn Duy Hưng,Nguyễn Duy Hưng,Nguyễn Duy Hưng,Chủ tịch Hội đồng quản trị kiểm,,,,,,,,,
Nguyễn Duy Hưng,Nguyễn Duy Hưng,Nguyễn Duy Hưng,Chủ tịch Hội đồng đầu tư và,,,,,,,,,
Nguyễn Duy Hưng,Nguyễn Duy Hưng > Nguyễn Duy Hưng,Nguyễn Duy Hưng,Chủ tịch Tiểu ban chiến lược,7.529.728.000,-,7.044.900.000,-,,7529728000.0,,7044900000.0,
Nguyễn Hồng Nam,Nguyễn Duy Hưng > Nguyễn Hồng Nam,Nguyễn Hồng Nam,Thành viên HĐQT,5.403.172.727,-,6.344.900.000,-,,5403172727.0,,6344900000.0,
Nguyễn Đức Thông,Nguyễn Duy Hưng > Nguyễn Đức Thông,Nguyễn Đức Thông,Tổng Giám đốc,5.837.732.770,-,4.347.000.000,-,,5837732770.0,,4347000000.0,
Phạm Việt Muôn,Nguyễn Duy Hưng > Phạm Việt Muôn,Phạm Việt Muôn,Thành viên HĐQT,-,1.371.333.335,-,1.365.333.335,,,1371333335.0,,1365333335.0
Nguyễn Duy Khánh,Nguyễn Duy Hưng > Nguyễn Duy Khánh,Nguyễn Duy Khánh,Thành viên HĐQT,-,300.000.000,-,300.000.000,,,300000000.0,,300000000.0
Kosuke Mizuno,Kosuke Mizuno,Kosuke Mizuno,Thành viên HĐQT,-,-,-,-,,,,,
Hironori Oka,Hironori Oka,Hironori Oka,Thành viên HĐQT,-,-,-,-,,,,,
Nguyễn Quốc Cương,Hironori Oka > Nguyễn Quốc Cương,Nguyễn Quốc Cương,Thành viên HĐQT,-,788.000.000,-,782.000.000,,,788000000.0,,782000000.0
