row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Tổng giả trị bán VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lãi/(lỗ) bán chứng khoán năm nay VND,Đơn vị tính: VND Lãi/(lỗ) bán chứng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Tổng giả trị bán VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lãi/(lỗ) bán chứng khoán năm nay VND,numeric__Đơn vị tính: VND Lãi/(lỗ) bán chứng khoán năm trước VND
I,I,I,LÃI BÁN,,,,,,,,,,,
1,I > 1,1,Cổ phiếu và chứng khoán niêm yết (bao gồm cổ phiếu phòng ngừa rủi ro cho chứng quyền),517.420.680,18.781.347.892.763,17.547.938.189.725,1.233.409.703.039,324.385.853.553,,517420680.0,18781347892763.0,17547938189725.0,1233409703039.0,324385853553.0
2,I > 2,2,Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,13.638.189,326.050.579.511,163.432.585.882,162.617.993.629,34.961.835.580,,13638189.0,326050579511.0,163432585882.0,162617993629.0,34961835580.0
3,I > 3,3,Trải phiếu và chứng chỉ tiền gửi,577.752.504,141.487.262.074.456,141.121.458.702.571,365.803.371.885,437.222.273.509,,577752504.0,141487262074456.0,141121458702571.0,365803371885.0,437222273509.0
4,I > 4,4,Lãi vị thế của hợp đồng chứng khoán phải sinh,,,,851.845.665.000,235.219.422.000,,,,,851845665000.0,235219422000.0
5,I > 5,5,Lãi chứng quyền do Công ty phát hành,1.504.963.800,1.850.542.662.185,1.326.814.390.800,523.728.271.385,386.959.038.007,,1504963800.0,1850542662185.0,1326814390800.0,523728271385.0,386959038007.0
,,,Tổng cộng,2.613.775.173,162.445.203.208.915,160.159.643.868.978,3.137.405.004.938,1.418.748.422.649,,2613775173.0,162445203208915.0,160159643868978.0,3137405004938.0,1418748422649.0
II,II,II,Lỗ BÁN,,,,,,,,,,,
1,II > 1,1,Cổ phiếu và chứng khoán niêm yết (bao gồm cổ phiếu phòng ngừa rủi ro cho chứng quyền),311.519.794,10.894.431.507.141,11.385.439.198.204,(491.007.691.063),(324.559.734.797),,311519794.0,10894431507141.0,11385439198204.0,-491007691063.0,-324559734797.0
2,II > 2,2,Cổ phiếu chưa niêm yết,1.095.625,19.643.793.024,90.501.503.322,(70.857.710.298),(4.677.702.845),,1095625.0,19643793024.0,90501503322.0,-70857710298.0,-4677702845.0
3,II > 3,3,Trải phiếu và chứng chỉ tiền gửi,137.557.780,29.862.752.117.455,29.949.853.133.155,(87.101.015.700),(124.405.827.132),,137557780.0,29862752117455.0,29949853133155.0,-87101015700.0,-124405827132.0
4,II > 4,4,Lỗ vị thế của hợp đồng chứng khoán phải sinh,,,,(1.076.579.746.000),(211.207.948.000),,,,,-1076579746000.0,-211207948000.0
5,II > 5,5,Lỗ chứng quyền do Công ty phát hành,1.411.943.700,2.516.090.221.004,3.193.636.316.000,(677.546.094.996),(138.349.091.095),,1411943700.0,2516090221004.0,3193636316000.0,-677546094996.0,-138349091095.0
,,,Tổng cộng,1.862.116.899,43.292.917.638.624,44.619.430.150.681,(2.403.092.258.057),(803.200.303.869),,1862116899.0,43292917638624.0,44619430150681.0,-2403092258057.0,-803200303869.0
