row_label_raw,row_label_full,Các khoản đầu tư nắm giữ đến ngày đáo hạn > - Trái phiếu nắm giữ đến ngày đáo hạn (1) > - Tiền gửi có kỳ hạn trên 1 năm,Hình thúcsở hữu,Số cuối năm > Tỷ lệbiểu quyếtcủa Công ty,Số cuối năm > Giá trịVND > 2.971.910.059.220 > -,Số đầu năm > Tỷ lệbiểu quyếtcủa Công ty,Số đầu năm > Giá trịVND > 938.116.263.256 > 614.534.757.754 > 323.581.505.502,numeric__Hình thúcsở hữu,numeric__Số cuối năm > Tỷ lệbiểu quyếtcủa Công ty,numeric__Số cuối năm > Giá trịVND > 2.971.910.059.220 > -,numeric__Số đầu năm > Tỷ lệbiểu quyếtcủa Công ty,numeric__Số đầu năm > Giá trịVND > 938.116.263.256 > 614.534.757.754 > 323.581.505.502
"Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)",,,715.487.879.037,,687.490.406.131,,,715487879037.0,,687490406131.0
- Công ty Cổ phần Tập đoàn PAN (PAN) (3),- Công ty Cổ phần Tập đoàn PAN (PAN) (3),- Công ty Cổ phần Tập đoàn PAN (PAN) (3),Trực tiếp,"12,75%",715.487.879.037,"12,73%",676.453.310.095,,0.1275,715487879037.0,0.1273,676453310095.0
- Quỹ Đầu tư Công Nghệ số và Y Tế Việt Nam (VDHF) (4),- Quỹ Đầu tư Công Nghệ số và Y Tế Việt Nam (VDHF) (4),- Quỹ Đầu tư Công Nghệ số và Y Tế Việt Nam (VDHF) (4),Trực tiếp,"0,00%",-,"20,00%",11.037.096.036,,0.0,,0.2,11037096036.0
Tổng cộng,Tổng cộng,Tổng cộng,,,3.687.397.938.257,,1.625.606.669.387,,,3687397938257.0,,1625606669387.0
