row_label_raw,row_label_full,Chênh lệch tỷ giáchuyển đổi báo cáo tàichính công ty con phátsinh trong năm,Vốn góp củachủ sở hữu,Thặng dưvốn cố phần > -,Cổ phiếu quỹ > -,Chênh lệchđánh giả lại tàisản theo giá trịhop lý > -,Chênh lệchtỷ giả hối đoái > 12.903.110.486,Quỹ dự trữ bổsung vốn điều lệ > -,Lợi nhuậnchưa phân phối > -,Lợi ích cố đôngkhòng kiểm soát > -,Tổng cộng > 12.903.110.486,numeric__Vốn góp củachủ sở hữu,numeric__Thặng dưvốn cố phần > -,numeric__Cổ phiếu quỹ > -,numeric__Chênh lệchđánh giả lại tàisản theo giá trịhop lý > -,numeric__Chênh lệchtỷ giả hối đoái > 12.903.110.486,numeric__Quỹ dự trữ bổsung vốn điều lệ > -,numeric__Lợi nhuậnchưa phân phối > -,numeric__Lợi ích cố đôngkhòng kiểm soát > -,numeric__Tổng cộng > 12.903.110.486
Chênh lệch phát sinh docông ty liên kết thay đốity lệ sở hữu công ty concủa công ty liên kết,Chênh lệch phát sinh docông ty liên kết thay đốity lệ sở hữu công ty concủa công ty liên kết,Chênh lệch phát sinh docông ty liên kết thay đốity lệ sở hữu công ty concủa công ty liên kết,,-,-,-,-,-,(21.353.949.236),-,(21.353.949.236),,,,,,,-21353949236.0,,-21353949236.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,-,-,-,-,-,4.106.880.733.899,-,4.106.880.733.899,,,,,,,4106880733899.0,,4106880733899.0
Lợi ích cố đông khôngkiểm soát,Lợi ích cố đông khôngkiểm soát,Lợi ích cố đông khôngkiểm soát,,-,-,-,-,-,4.736.110.613,(4.736.110.613),-,,,,,,,4736110613.0,-4736110613.0,
Giám khác,Giám khác,Giám khác,,-,-,-,-,-,(2.126.170.317),(15.698.178.113),(17.824.348.430),,,,,,,-2126170317.0,-15698178113.0,-17824348430.0
Số cuối năm,Số cuối năm,Số cuối năm,20.779.062.620.000,3.309.027.581.013,(19.115.006.409),41.559.224.831,85.080.701.032,3.000.000.000,7.737.518.495.585,130.184.844.710,32.066.318.460.762,20779062620000.0,3309027581013.0,-19115006409.0,41559224831.0,85080701032.0,3000000000.0,7737518495585.0,130184844710.0,32066318460762.0
