row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
200,200,200,B. TÀI SẢN DÀI HẠN,,4.727.192.713.824,2.574.910.647.355,,,4727192713824.0,2574910647355.0
210,210,210,I. Tài sản tài chính dài hạn,,3.687.397.938.257,1.625.606.669.387,,,3687397938257.0,1625606669387.0
212,212,212,1. Các khoản đầu tư,11,3.687.397.938.257,1.625.606.669.387,,11.0,3687397938257.0,1625606669387.0
212.1,212.1,212.1,1.1. Các khoản đầu tư nằm giữ đến ngày đáo hạn,,2.971.910.059.220,938.116.263.256,,,2971910059220.0,938116263256.0
212.3,212.3,212.3,"1.2. Đầu tư vào công ty liên doanh, liên kết",,715.487.879.037,687.490.406.131,,,715487879037.0,687490406131.0
220,220,220,II. Tài sản cố định,,187.107.047.495,231.350.675.694,,,187107047495.0,231350675694.0
221,221,221,1. Tài sản cố định hữu hình,12,80.121.034.514,118.506.719.899,,12.0,80121034514.0,118506719899.0
222,222,222,1.1. Nguyên giá,,404.635.849.442,408.360.121.790,,,404635849442.0,408360121790.0
223a,223a,223a,1.2. Giá trị hao mòn lũy kế,,(324.514.814.928),(289.853.401.891),,,-324514814928.0,-289853401891.0
227,227,227,2. Tài sản cố định vô hình,13,106.986.012.981,112.843.955.795,,13.0,106986012981.0,112843955795.0
228,228,228,2.1. Nguyên giá,,333.973.134.494,313.999.554.731,,,333973134494.0,313999554731.0
229a,229a,229a,2.2. Giá trị hao mòn lũy kế,,(226.987.121.513),(201.155.598.936),,,-226987121513.0,-201155598936.0
230,230,230,III. Bất động sản đầu tư,14,289.578.551.930,200.196.436.698,,14.0,289578551930.0,200196436698.0
231,231,231,1. Nguyên giá,,388.660.246.007,287.459.600.028,,,388660246007.0,287459600028.0
232a,232a,232a,2. Giá trị hao mòn lũy kế,,(99.081.694.077),(87.263.163.330),,,-99081694077.0,-87263163330.0
240,240,240,IV. Chi phí xây dựng cơ bản dở dang,15,472.100.859.898,387.623.333.376,,15.0,472100859898.0,387623333376.0
250,250,250,V. Tài sản dài hạn khác,,91.008.316.244,130.133.532.200,,,91008316244.0,130133532200.0
251,251,251,"1. Cảm cố, thể chấp, ký quỹ, ký cược dài hạn",16,29.242.004.446,31.205.273.582,,16.0,29242004446.0,31205273582.0
252,252,252,2. Chi phí trả trước dài hạn,17,13.604.625.399,21.614.788.489,,17.0,13604625399.0,21614788489.0
253,253,253,3. Tài sản thuế thu nhập hoãn lại,18,13.161.686.399,24.001.105.881,,18.0,13161686399.0,24001105881.0
254,254,254,4. Tiền nộp Quỹ Hö trợ thanh toán,19,20.000.000.000,20.000.000.000,,19.0,20000000000.0,20000000000.0
255,255,255,5. Tài sản dài hạn khác,,15.000.000.000,33.312.364.248,,,15000000000.0,33312364248.0
270,270,270,TỔNG CỘNG TÀI SẢN,,94.049.979.396.183,73.507.302.559.722,,,94049979396183.0,73507302559722.0
