row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Lãi suất,Số cuối năm > VNDKỳ hạn,Số đầu năm > Giá trị,Số đầu năm > Lãi suất,Số đầu năm > VNDKỳ hạn,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Lãi suất,numeric__Số cuối năm > VNDKỳ hạn,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Lãi suất,numeric__Số đầu năm > VNDKỳ hạn
Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),Gói 1 (XDCCH2124001),,,,,,
Trái phiếu phát hành theo mênh giá,Gói 1 (XDCCH2124001) > Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,927.091.700.000,"9,17%","3 năm, được gia hạn thành 5 năm, đến hạn ngày 26/3/2026",927.091.700.000,"9,23%","3 năm, được gia hạn thành 5 năm, đến hạn ngày 26/3/2026",927091700000.0,0.0917,,927091700000.0,0.09230000000000001,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,,,-,,,,,,,,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,927.091.700.000,,,927.091.700.000,,,927091700000.0,,,927091700000.0,,
Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),Gói 2 (XDCCH2125002),,,,,,
Trái phiếu phát hành theo mênh giá,Gói 2 (XDCCH2125002) > Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,978.684.300.000,"9,17%","4 năm, được gia hạn thành 6 năm, đến hạn ngày 09/4/2027",1.100.000.000.000,"9,17%","4 năm, đến hạn ngày 09/4/2025",978684300000.0,0.0917,,1100000000000.0,0.0917,
Chi phí phát hành trái phiếu,Gói 2 (XDCCH2125002) > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,,,(147.570.156),,,,,,-147570156.0,,
Chi phí phát hành trái phiếu,Gói 2 (XDCCH2125002) > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,978.684.300.000,,,1.099.852.429.844,,,978684300000.0,,,1099852429844.0,,
Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),Gói 3 (XDCCH2126003),,,,,,
Trái phiếu phát hành theo mênh giá,Gói 3 (XDCCH2126003) > Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,1.200.000.000.000,"9,17%","5 năm, đến hạn ngày 22/4/2026",1.200.000.000.000,"9,17%","5 năm, đến hạn ngày 22/4/2026",1200000000000.0,0.0917,,1200000000000.0,0.0917,
Chi phí phát hành trái phiếu,Gói 3 (XDCCH2126003) > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(145.892.658),,,(625.629.789),,,-145892658.0,,,-625629789.0,,
Chi phí phát hành trái phiếu,Gói 3 (XDCCH2126003) > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,1.199.854.107.342,,,1.199.374.370.211,,,1199854107342.0,,,1199374370211.0,,
Tổng cộng,Gói 3 (XDCCH2126003) > Tổng cộng,Tổng cộng,3.105.630.107.342,,,3.226.318.500.055,,,3105630107342.0,,,3226318500055.0,,
