row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 22),Nội dung nghiệp vụ,Số cuối năm VND > 2.285.483.089,Số đầu năm VND > 1.931.905.866,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm VND > 2.285.483.089,numeric__Số đầu năm VND > 1.931.905.866
Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Dự trả chi phí lãi vay,1.296.000.000,-,,1296000000.0,
Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Phải trả chi phí hoàn thiện dự án,441.299.538,441.299.538,,441299538.0,441299538.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Phải trả chi phí dịch vụ suất ăn,190.924.927,-,,190924927.0,
Công ty Cổ phần Tập đoàn Bất động sản Real Tech,Công ty Cổ phần Tập đoàn Bất động sản Real Tech,Công ty Cổ phần Tập đoàn Bất động sản Real Tech,Chi phí thuê xe,109.333.333,109.333.333,,109333333.0,109333333.0
Công ty Cổ phần Đầu tư DIA,Công ty Cổ phần Đầu tư DIA,Công ty Cổ phần Đầu tư DIA,Dự trả chi phí lãi vay,103.647.945,,,103647945.0,
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Trích trước phí dịch vụ vận hành,85.742.566,67.286.226,,85742566.0,67286226.0
Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Trích trước chi phí in lịch,58.534.780,67.632.151,,58534780.0,67632151.0
Ngân hàng TMCP Kiên Long,Ngân hàng TMCP Kiên Long,Ngân hàng TMCP Kiên Long,Chi phí hỗ trợ lãi suất cho khách hàng,-,1.246.354.618,,,1246354618.0
Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),,7.540.000,207.540.000,,7540000.0,207540000.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Phải trả khác,7.540.000,7.540.000,,7540000.0,7540000.0
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Phải trả khác,-,200.000.000,,,200000000.0
Vay ngắn hạn (Thuyết minh số 25),Vay ngắn hạn (Thuyết minh số 25),Vay ngắn hạn (Thuyết minh số 25),,17.550.000.000,-,,17550000000.0,
Công ty Cổ phần Đầu tư DIA,Công ty Cổ phần Đầu tư DIA,Công ty Cổ phần Đầu tư DIA,Vay ngắn hạn,17.550.000.000,-,,17550000000.0,
