row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,"Chi phí quảng cáo, truyền thông, ấn phẩm và in lịch",599.297.906,4.805.264.570,,599297906.0,4805264570.0
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Chi phí thuê văn phòng,589.396.364,304.636.364,,589396364.0,304636364.0
Công ty Cổ phần Sunshine Cab,Công ty Cổ phần Sunshine Cab,Công ty Cổ phần Sunshine Cab,Chi phí thuê xe ô tô,450.000.000,75.000.000,,450000000.0,75000000.0
Công ty TNHH Dynamic Innovation,Công ty TNHH Dynamic Innovation,Công ty TNHH Dynamic Innovation,Chi phí thuê xe ô tô,45.000.000,-,,45000000.0,
Công ty Cổ phần Thương mại Dịch vụ Thuận Phú,Công ty Cổ phần Thương mại Dịch vụ Thuận Phú,Công ty Cổ phần Thương mại Dịch vụ Thuận Phú,"Chi phí dịch vụ khách sạn, dịch vụ vận chuyển",20.775.926,21.759.260,,20775926.0,21759260.0
Công ty Cổ phần Công nghệ Nanochip,Công ty Cổ phần Công nghệ Nanochip,Công ty Cổ phần Công nghệ Nanochip,Chi phí lắp đặt thiết bị lưu trữ video,-,85.760.000,,,85760000.0
Phí dịch vụ chi hộ,Phí dịch vụ chi hộ,Phí dịch vụ chi hộ,,7.054.709.200,1.433.597.500,,7054709200.0,1433597500.0
Công ty Cổ phần Đầu tư DIA,Công ty Cổ phần Đầu tư DIA,Công ty Cổ phần Đầu tư DIA,Đối trừ công nợ ba bên,6.000.000.000,-,,6000000000.0,
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Phí dịch vụ chi hộ,927.819.200,933.597.500,,927819200.0,933597500.0
Công ty Cổ phần Tập đoàn Công nghệ & Tài chính Noblex,Công ty Cổ phần Tập đoàn Công nghệ & Tài chính Noblex,Công ty Cổ phần Tập đoàn Công nghệ & Tài chính Noblex,Chi hộ,78.000.000,-,,78000000.0,
Công ty Cổ phần Phát triển Tập đoàn Sunshine,Công ty Cổ phần Phát triển Tập đoàn Sunshine,Công ty Cổ phần Phát triển Tập đoàn Sunshine,Phí dịch vụ chi hộ,48.890.000,500.000.000,,48890000.0,500000000.0
Góp vốn,Góp vốn,Góp vốn,,-,50.000.000.000,,,50000000000.0
Công ty Cổ phần Thiên Hải,Công ty Cổ phần Thiên Hải,Công ty Cổ phần Thiên Hải,Góp vốn,-,50.000.000.000,,,50000000000.0
Đặt cọc mua cổ phần,Đặt cọc mua cổ phần,Đặt cọc mua cổ phần,,-,260.000.000.000,,,260000000000.0
Công ty Cổ phần Bất động sản Fullland,Công ty Cổ phần Bất động sản Fullland,Công ty Cổ phần Bất động sản Fullland,Chuyển tiền đặt cọc mua cổ phần,-,260.000.000.000,,,260000000000.0
Chi phí hỗ trợ lãi suất,Chi phí hỗ trợ lãi suất,Chi phí hỗ trợ lãi suất,,1.359.561.319,-,,1359561319.0,
Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng Thương mại Cổ phần Kiên Long,Chi phí hỗ trợ lãi suất cho khách hàng,1.359.561.319,-,,1359561319.0,
Cho vay,Cho vay,Cho vay,,2.741.170.000.000,-,,2741170000000.0,
Công ty Cổ phần Bất động sản Fullland,Công ty Cổ phần Bất động sản Fullland,Công ty Cổ phần Bất động sản Fullland,Chuyển tiền cho vay,1.883.750.000.000,-,,1883750000000.0,
Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Chuyển tiền cho vay,552.020.000.000,-,,552020000000.0,
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Chuyển tiền cho vay,305.400.000.000,-,,305400000000.0,
Nhận lại gốc cho vay,Nhận lại gốc cho vay,Nhận lại gốc cho vay,,968.250.000.000,71.590.000.000,,968250000000.0,71590000000.0
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Nhận lại gốc cho vay,298.950.000.000,71.590.000.000,,298950000000.0,71590000000.0
Công ty Cổ phần Bất động sản Fullland,Công ty Cổ phần Bất động sản Fullland,Công ty Cổ phần Bất động sản Fullland,Nhận lại gốc cho vay,603.500.000.000,-,,603500000000.0,
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Nhận lại gốc cho vay,65.800.000.000,-,,65800000000.0,
