row_label_raw,row_label_full,col_0,Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,Số đầu năm > Tăng,Trong năm > VNDGiám,Số cuối năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > Tăng,numeric__Trong năm > VNDGiám,numeric__Số cuối năm > VNDGiá trị/Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,337.737.000.000,318.550.000.000,638.737.000.000,17.550.000.000,337737000000.0,318550000000.0,638737000000.0,17550000000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (i),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (i),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (i),337.737.000.000,-,337.737.000.000,-,337737000000.0,,337737000000.0,
Công ty Cổ phần Đầu tư DIA,Công ty Cổ phần Đầu tư DIA,Công ty Cổ phần Đầu tư DIA,-,17.550.000.000,-,17.550.000.000,,17550000000.0,,17550000000.0
Công ty Cổ phần Bất Động Sản Wonderland (ii),Công ty Cổ phần Bất Động Sản Wonderland (ii),Công ty Cổ phần Bất Động Sản Wonderland (ii),-,300.000.000.000,300.000.000.000,-,,300000000000.0,300000000000.0,
Công ty TNHH Wintech AI Solution,Công ty TNHH Wintech AI Solution,Công ty TNHH Wintech AI Solution,-,1.000.000.000,1.000.000.000,-,,1000000000.0,1000000000.0,
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,1.099.852.429.843,2.126.945.807.342,1.099.852.429.843,2.126.945.807.342,1099852429843.0,2126945807342.0,1099852429843.0,2126945807342.0
Trái phiếu đến hạn thanh toán (b.ii),Trái phiếu đến hạn thanh toán (b.ii),Trái phiếu đến hạn thanh toán (b.ii),1.099.852.429.843,2.126.945.807.342,1.099.852.429.843,2.126.945.807.342,1099852429843.0,2126945807342.0,1099852429843.0,2126945807342.0
,,,1.437.589.429.843,2.445.495.807.342,1.738.589.429.843,2.144.495.807.342,1437589429843.0,2445495807342.0,1738589429843.0,2144495807342.0
