row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải thu/phải nộp trongnămVND,Số đã thực nộp/bù trừ trongnămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải thu/phải nộp trongnămVND,numeric__Số đã thực nộp/bù trừ trongnămVND,numeric__Số cuối nămVND
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,,,,
Thuế thu nhập doanhnghiệp tạm nộp,Các khoản phải thu > Thuế thu nhập doanhnghiệp tạm nộp,Thuế thu nhập doanhnghiệp tạm nộp,1.044.583.023,844.967.547,-,199.615.476,1044583023.0,844967547.0,,199615476.0
"Thuế nhà đất, tiền thuêđất","Các khoản phải thu > Thuế nhà đất, tiền thuêđất","Thuế nhà đất, tiền thuêđất",207.232.847,-,-,207.232.847,207232847.0,,,207232847.0
Thuế thu nhập cá nhân,Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.607.553,3.917.192,3.135.317,5.825.678,6607553.0,3917192.0,3135317.0,5825678.0
,,,1.258.423.423,848.884.739,3.135.317,412.674.001,1258423423.0,848884739.0,3135317.0,412674001.0
Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,,,,
Thuế giá trị gia tăng,Các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.038.491.936,34.183.099.404,33.471.344.502,3.750.246.838,3038491936.0,34183099404.0,33471344502.0,3750246838.0
Thuế thu nhập doanhnghiệp,Các khoản phải nộp > Thuế thu nhập doanhnghiệp,Thuế thu nhập doanhnghiệp,229.385.095.349,43.095.989.997,118.200.770.168,154.280.315.178,229385095349.0,43095989997.0,118200770168.0,154280315178.0
Thuế thu nhập cá nhân,Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.599.558.029,13.658.496.049,13.175.588.924,4.082.465.154,3599558029.0,13658496049.0,13175588924.0,4082465154.0
"Thuế nhà đất, tiền thuêđất","Các khoản phải nộp > Thuế nhà đất, tiền thuêđất","Thuế nhà đất, tiền thuêđất",-,3.708.218.964,3.386.572.723,321.646.241,,3708218964.0,3386572723.0,321646241.0
Các loại thuế khác,Các khoản phải nộp > Các loại thuế khác,Các loại thuế khác,-,6.289.601.685,6.289.601.685,-,,6289601685.0,6289601685.0,
,,,236.023.145.314,100.935.406.099,174.523.878.002,162.434.673.411,236023145314.0,100935406099.0,174523878002.0,162434673411.0
