row_label_raw,row_label_full,Tên công ty con,Nơi thành lập và hoạt động,số hữu,nắm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__số hữu,numeric__nắm giữ,numeric__Hoạt động chính
Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,
Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Công ty con trực tiếp > Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,"Tăng 11, tòa nhà Sunshine Center, 16 Phạm Hùng, Phường Từ Liêm, Thành phố Hà Nội, Việt Nam","100,00%","100,00%","Đầu tư, xây dựng và kinh doanh bất động sản",,1.0,1.0,
Công ty Cổ phần Đầu Tư Xây Dương Xuân La,Công ty con trực tiếp > Công ty Cổ phần Đầu Tư Xây Dương Xuân La,Công ty Cổ phần Đầu Tư Xây Dương Xuân La,"Tăng 4, tòa nhà Sunshine Center, 16 Phạm Hùng, Phường Từ Liêm, Thành phố Hà Nội, Việt Nam","97,00%","97,00%","Đầu tư, xây dựng và kinh doanh bất động sản",,0.97,0.97,
Công ty Cổ phần Sao Ánh Dương,Công ty con trực tiếp > Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,"SH02-02, Tòa R2 Dự án Sunshine Riverside, Lô CT03A-CT thuộc ở CT03 KDT Nam Thắng Long, Phường Phú Thượng, Thành phố Hà Nội, Việt Nam","51,30%","51,30%","Đầu tư, xây dựng và kinh doanh bất động sản",,0.513,0.513,
Công ty Cổ phần Đầu tư Xây dựng Long Biên,Công ty con trực tiếp > Công ty Cổ phần Đầu tư Xây dựng Long Biên,Công ty Cổ phần Đầu tư Xây dựng Long Biên,"Nhà điều hành, Lô CT7, đường Nguyễn Lam, Phường Việt Hưng, Thành phố Hà Nội, Việt Nam","99,12%","99,12%","Đầu tư, xây dựng và kinh doanh bất động sản",,0.9912000000000001,0.9912000000000001,
Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,
Công ty Cổ phần Đầu tư Xây dựng Xuân Đình (thông qua Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát),Công ty con gián tiếp > Công ty Cổ phần Đầu tư Xây dựng Xuân Đình (thông qua Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát),Công ty Cổ phần Đầu tư Xây dựng Xuân Đình (thông qua Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát),"Tăng 9, tòa nhà Sunshine Center, 16 Phạm Hùng, Phường Từ Liêm, Thành phố Hà Nội, Việt Nam","94,00%","94,00%","Đầu tư, xây dựng và kinh doanh bất động sản",,0.94,0.94,
Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,,,,
Công ty Cổ phần Sunshine Tây Hồ,Công ty liên kết trực tiếp > Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,"Tăng 12, tòa nhà Sunshine Center, 16 Phạm Hùng, Phường Từ Liêm, Thành phố Hà Nội, Việt Nam","45,00%","45,00%","Đầu tư, xây dựng và kinh doanh bất động sản",,0.45,0.45,
Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,,,,
Công ty TNHH Đầu tư Sinh thái Cẩm Đình (thông qua Công ty Cổ phần Đầu tư Xây dựng Xuân Đình),Công ty liên kết gián tiếp > Công ty TNHH Đầu tư Sinh thái Cẩm Đình (thông qua Công ty Cổ phần Đầu tư Xây dựng Xuân Đình),Công ty TNHH Đầu tư Sinh thái Cẩm Đình (thông qua Công ty Cổ phần Đầu tư Xây dựng Xuân Đình),"Tăng 6, tòa nhà Sunshine Center, 16 Phạm Hùng, Phường Từ Liêm, Thành phố Hà Nội, Việt Nam","20,11%","21,39%","Đầu tư, xây dựng và kinh doanh bất động sản",,0.2011,0.2139,
