row_label_raw,row_label_full,CHÍ TIÊU,CHÍ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHÍ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,29,597.089.353.633,2.933.922.873.312,,1.0,29.0,597089353633.0,2933922873312.0
2.,2.,2.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,,597.089.353.633,2.933.922.873.312,,10.0,,597089353633.0,2933922873312.0
3.,3.,3.,Giá vốn hàng bán và dịch vụ cung cấp,11,30,324.210.928.086,1.574.376.287.118,,11.0,30.0,324210928086.0,1574376287118.0
4.,4.,4.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,272.878.425.547,1.359.546.586.194,,20.0,,272878425547.0,1359546586194.0
5.,5.,5.,Doanh thu hoạt động tài chính,21,32,486.416.916.769,429.608.569.177,,21.0,32.0,486416916769.0,429608569177.0
6.,6.,6.,Chỉ phí tài chính,22,33,561.572.775.461,403.659.669.062,,22.0,33.0,561572775461.0,403659669062.0
,,,"- Trong đó: Chi phí lãi vay, lãi trái phiếu và chi phí phát hành khoản vay, trái phiếu",23,,506.647.192.981,338.070.241.135,,23.0,,506647192981.0,338070241135.0
7.,7.,7.,Phần lỗ trong công ty liên kết,24,18,(321.795.987.112),(6.739.374.282),,24.0,18.0,-321795987112.0,-6739374282.0
8.,8.,8.,Chỉ phí bán hàng,25,34,41.339.600.694,209.308.453.889,,25.0,34.0,41339600694.0,209308453889.0
9.,9.,9.,Chỉ phí quản lý doanh nghiệp,26,34,154.205.463.483,138.060.407.938,,26.0,34.0,154205463483.0,138060407938.0
10.,10.,10.,(Lỗ)/Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,(319.618.484.434),1.031.387.250.200,,30.0,,-319618484434.0,1031387250200.0
11.,11.,11.,Thu nhập khác,31,35,6.312.862.737,34.367.142.485,,31.0,35.0,6312862737.0,34367142485.0
12.,12.,12.,Chỉ phí khác,32,36,33.458.715.511,36.587.680.937,,32.0,36.0,33458715511.0,36587680937.0
13.,13.,13.,Lỗ khác (40=31-32),40,,(27.145.852.774),(2.220.538.452),,40.0,,-27145852774.0,-2220538452.0
14.,14.,14.,Tổng (lỗ)/lợi nhuận kế toán trước thuế (50=30+40),50,,(346.764.337.208),1.029.166.711.748,,50.0,,-346764337208.0,1029166711748.0
15.,15.,15.,Chỉ phí thuế thu nhập doanh nghiệp hiện hành,51,37,43.940.957.544,212.269.464.310,,51.0,37.0,43940957544.0,212269464310.0
16.,16.,16.,Chỉ phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,37,21.098.585.078,(172.163.860),,52.0,37.0,21098585078.0,-172163860.0
17.,17.,17.,(Lỗ)/lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,(411.803.879.830),817.069.411.298,,60.0,,-411803879830.0,817069411298.0
,,,Trong đó:(Lỗ)/lợi nhuận sau thuế của Công ty mẹ,61,,(399.285.950.388),804.352.645.065,,61.0,,-399285950388.0,804352645065.0
,,,(Lỗ)/lợi nhuận sau thuế của cổ đông không kiểm soát,62,,(12.517.929.442),12.716.766.233,,62.0,,-12517929442.0,12716766233.0
18.,18.,18.,(Lỗ)/Lãi cơ bản trên cổ phiếu,70,38,(1.065),2.145,,70.0,38.0,-1065.0,2145.0
