row_label_raw,row_label_full,col_0,Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,Số đầu năm > VNDTăng,Trong năm > VNDGiám,Trong năm > VNDGiá trị/Số có khả năng trả nợ,Số cuối năm,numeric__Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > VNDTăng,numeric__Trong năm > VNDGiám,numeric__Trong năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số cuối năm
Vay dài hạn,Vay dài hạn,Vay dài hạn,362.263.000.000,637.737.000.000,-,1.000.000.000.000,,362263000000.0,637737000000.0,,1000000000000.0,
Ngân hàng TNHH MTV Số Vikki (i),Ngân hàng TNHH MTV Số Vikki (i),Ngân hàng TNHH MTV Số Vikki (i),362.263.000.000,637.737.000.000,-,1.000.000.000.000,,362263000000.0,637737000000.0,,1000000000000.0,
Trái phiếu dài hạn (ii),Trái phiếu dài hạn (ii),Trái phiếu dài hạn (ii),3.226.318.500.055,627.307.287,121.315.700.000,3.105.630.107.342,,3226318500055.0,627307287.0,121315700000.0,3105630107342.0,
,,,3.588.581.500.055,638.364.307.287,121.315.700.000,4.105.630.107.342,,3588581500055.0,638364307287.0,121315700000.0,4105630107342.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
- Số phải trả trong vòng 12 tháng,Trong đó: > - Số phải trả trong vòng 12 tháng,- Số phải trả trong vòng 12 tháng,1.099.852.429.843,,,2.126.945.807.342,,1099852429843.0,,,2126945807342.0,
- Số phải trả sau 12 tháng,Trong đó: > - Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,2.488.729.070.212,,,1.978.684.300.000,,2488729070212.0,,,1978684300000.0,
