row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
,,,,VND,VND,,,
Tiền và tương đương tiền (Thuyết minh số 05),Tiền và tương đương tiền (Thuyết minh số 05),Tiền và tương đương tiền (Thuyết minh số 05),,51.587.778.165,357.872.846.578,,51587778165.0,357872846578.0
Ngân hàng TMCP Kiên Long,Ngân hàng TMCP Kiên Long,Ngân hàng TMCP Kiên Long,Tiền,51.587.778.165,357.872.846.578,,51587778165.0,357872846578.0
Phải thu ngắn hạn của khách hàng (Thuyết minh số 07),Phải thu ngắn hạn của khách hàng (Thuyết minh số 07),Phải thu ngắn hạn của khách hàng (Thuyết minh số 07),,7.309.489.655,5.339.012.000,,7309489655.0,5339012000.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Phải thu từ dịch vụ cho thuê bất động sản,4.573.974.154,2.746.062.000,,4573974154.0,2746062000.0
Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Phải thu từ dịch vụ cho thuê bất động sản,1.088.738.535,-,,1088738535.0,
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Phải thu từ dịch vụ cho thuê bất động sản,1.068.480.000,959.510.000,,1068480000.0,959510000.0
Công ty Cổ phần Đầu tư và Phát triển BĐS CMQ,Công ty Cổ phần Đầu tư và Phát triển BĐS CMQ,Công ty Cổ phần Đầu tư và Phát triển BĐS CMQ,Phải thu dịch vụ cho thuê bất động sản,560.006.643,-,,560006643.0,
Công ty Cổ phần Tập đoàn Công nghệ và Tài chính NO BLEX,Công ty Cổ phần Tập đoàn Công nghệ và Tài chính NO BLEX,Công ty Cổ phần Tập đoàn Công nghệ và Tài chính NO BLEX,Phải thu dịch vụ cho thuê ô tô,18.290.323,-,,18290323.0,
Ngân hàng TMCP Kiên Long,Ngân hàng TMCP Kiên Long,Ngân hàng TMCP Kiên Long,Cung cấp dịch vụ cho thuê bất động sản,-,1.633.440.000,,,1633440000.0
Trả trước cho người bán ngắn hạn (Thuyết minh số 08),Trả trước cho người bán ngắn hạn (Thuyết minh số 08),Trả trước cho người bán ngắn hạn (Thuyết minh số 08),,3.383.482.960,-,,3383482960.0,
Công ty Cổ phần Công nghệ Nanochip,Công ty Cổ phần Công nghệ Nanochip,Công ty Cổ phần Công nghệ Nanochip,Trả trước hợp đồng cung cấp thiết bị,3.383.482.960,-,,3383482960.0,
Phải thu về cho vay ngắn hạn (Thuyết minh số 09),Phải thu về cho vay ngắn hạn (Thuyết minh số 09),Phải thu về cho vay ngắn hạn (Thuyết minh số 09),,1.832.270.000.000,298.950.000.000,,1832270000000.0,298950000000.0
Công ty Cổ phần Bất động sản Fullland,Công ty Cổ phần Bất động sản Fullland,Công ty Cổ phần Bất động sản Fullland,Phải thu về cho vay ngắn hạn,1.280.250.000.000,-,,1280250000000.0,
Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Phải thu về cho vay ngắn hạn,552.020.000.000,-,,552020000000.0,
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Phải thu về cho vay ngắn hạn,-,298.950.000.000,,,298950000000.0
Phải thu về cho vay dài hạn (Thuyết minh số 09),Phải thu về cho vay dài hạn (Thuyết minh số 09),Phải thu về cho vay dài hạn (Thuyết minh số 09),,239.600.000.000,-,,239600000000.0,
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Phải thu về cho vay dài hạn,239.600.000.000,-,,239600000000.0,
