row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ khác thuộc vốn chủ sở hữu (i),Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ khác thuộc vốn chủ sở hữu (i),numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.750.000.000.000,(320.509.091),(829.429.046.362),2.335.854.379.659,584.342.042.341,5.840.446.866.547,3750000000000.0,-320509091.0,-829429046362.0,2335854379659.0,584342042341.0,5840446866547.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,804.352.645.065,12.716.766.233,817.069.411.298,,,,804352645065.0,12716766233.0,817069411298.0
Cổ tức đã chia,Cổ tức đã chia,Cổ tức đã chia,-,-,-,-,(15.435.519.568),(15.435.519.568),,,,,-15435519568.0,-15435519568.0
Tăng/(giảm) do hợp nhất kinh doanh dưới sự kiểm soát chung,Tăng/(giảm) do hợp nhất kinh doanh dưới sự kiểm soát chung,Tăng/(giảm) do hợp nhất kinh doanh dưới sự kiểm soát chung,-,-,(126.238.725.762),-,3.712.341.499,(122.526.384.263),,,-126238725762.0,,3712341499.0,-122526384263.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.750.000.000.000,(320.509.091),(955.667.772.124),3.140.207.024.724,585.335.630.505,6.519.554.374.014,3750000000000.0,-320509091.0,-955667772124.0,3140207024724.0,585335630505.0,6519554374014.0
Lỗ trong năm,Lỗ trong năm,Lỗ trong năm,-,-,-,(399.285.950.388),"(12,517,929,442)",(411.803.879.830),,,,-399285950388.0,,-411803879830.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.750.000.000.000,(320.509.091),(955.667.772.124),2.740.921.074.336,"572,817,701,063",6.107.750.494.184,3750000000000.0,-320509091.0,-955667772124.0,2740921074336.0,,6107750494184.0
