row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Nhận gốc vay,Nhận gốc vay,Nhận gốc vay,,317.550.000.000,-,,317550000000.0,
Công ty Cổ phần Bất Động Sản Wonderland,Công ty Cổ phần Bất Động Sản Wonderland,Công ty Cổ phần Bất Động Sản Wonderland,Nhận gốc vay,300.000.000.000,-,,300000000000.0,
Công ty Cổ phần Đầu tư DIA,Công ty Cổ phần Đầu tư DIA,Công ty Cổ phần Đầu tư DIA,Nhận gốc vay,17.550.000.000,-,,17550000000.0,
Trà gốc vay,Trà gốc vay,Trà gốc vay,,313.500.000.000,-,,313500000000.0,
Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Trà gốc vay,313.500.000.000,-,,313500000000.0,
Doanh thu hoạt động tài chính (Thuyết minh số 32),Doanh thu hoạt động tài chính (Thuyết minh số 32),Doanh thu hoạt động tài chính (Thuyết minh số 32),,104.676.446.022,13.464.701.370,,104676446022.0,13464701370.0
Công ty Cổ phần Bất động sản Fullland,Công ty Cổ phần Bất động sản Fullland,Công ty Cổ phần Bất động sản Fullland,Lãi cho vay,93.763.079.447,-,,93763079447.0,
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Lãi cho vay,8.044.404.383,13.464.701.370,,8044404383.0,13464701370.0
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Lãi cho vay,2.715.572.603,-,,2715572603.0,
Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Lãi cho vay,153.389.589,-,,153389589.0,
Chi phí tài chính (Thuyết minh số 33),Chi phí tài chính (Thuyết minh số 33),Chi phí tài chính (Thuyết minh số 33),,8.728.411.740,6.505.824.000,,8728411740.0,6505824000.0
Công ty Cổ phần Chứng khoán Smartmind,Công ty Cổ phần Chứng khoán Smartmind,Công ty Cổ phần Chứng khoán Smartmind,Chi phí liên quan trái phiếu đã phát hành,6.276.709.000,6.505.824.000,,6276709000.0,6505824000.0
Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Chi phí lãi vay,2.348.054.795,-,,2348054795.0,
Công ty Cổ phần Đầu tư DIA,Công ty Cổ phần Đầu tư DIA,Công ty Cổ phần Đầu tư DIA,Chi phí lãi vay,103.647.945,-,,103647945.0,
Thu nhập khác (Thuyết minh số 35),Thu nhập khác (Thuyết minh số 35),Thu nhập khác (Thuyết minh số 35),,-,679.459.837,,,679459837.0
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Lãi chậm trả,-,675.282.092,,,675282092.0
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Lãi chậm trả,-,4.177.745,,,4177745.0
