row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 10),Nội dung nghiệp vụ,Số cuối năm VND > 139.310.211.627,Số đầu năm VND > 335.184.517.261,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm VND > 139.310.211.627,numeric__Số đầu năm VND > 335.184.517.261
Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Phải thu về thu hộ tiền mua căn hộ,83.439.025.190,-,,83439025190.0,
Công ty Cổ phần Bất động sản Fullland,Công ty Cổ phần Bất động sản Fullland,Công ty Cổ phần Bất động sản Fullland,Lãi dự thu từ cho vay,52.994.301.367,260.000.000.000,,52994301367.0,260000000000.0
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Phải thu về thu hộ tiền mua căn hộ,2.715.572.603,-,,2715572603.0,
Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Lãi dự thu từ cho vay,153.389.589,-,,153389589.0,
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Thu hộ dịch vụ cho thuê nhà,7.922.878,-,,7922878.0,
Công ty Cổ phần Đầu tư kính doanh Bất động sản S-Homes,Công ty Cổ phần Đầu tư kính doanh Bất động sản S-Homes,Công ty Cổ phần Đầu tư kính doanh Bất động sản S-Homes,Phải thu từ hợp đồng đặt cọc mua cố phần,-,38.736.000.000,,,38736000000.0
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Lãi dự thu từ cho vay,-,36.448.517.261,,,36448517261.0
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Lãi dự thu từ cho vay,-,1.492.655.571.481,,,1492655571481.0
Đầu tư tài chính dài hạn (Thuyết minh số 18),Đầu tư tài chính dài hạn (Thuyết minh số 18),Đầu tư tài chính dài hạn (Thuyết minh số 18),,,,,,
Công ty Cổ phần Thiên Hải,Đầu tư tài chính dài hạn (Thuyết minh số 18) > Công ty Cổ phần Thiên Hải,Công ty Cổ phần Thiên Hải,Đầu tư góp vốn vào đơn vị khác,-,1.492.655.571.481,,,1492655571481.0
Phải trả người bán ngắn hạn (Thuyết minh số 19),Đầu tư tài chính dài hạn (Thuyết minh số 18) > Phải trả người bán ngắn hạn (Thuyết minh số 19),Phải trả người bán ngắn hạn (Thuyết minh số 19),,26.455.096.203,21.015.779.269,,26455096203.0,21015779269.0
Công ty Cổ phần S-Decoro,Đầu tư tài chính dài hạn (Thuyết minh số 18) > Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Phải trả chi phí thi công hoàn thiện nội thất,12.751.359.170,1.226.054.798,,12751359170.0,1226054798.0
Công ty Cổ phần Sunshine - Design,Đầu tư tài chính dài hạn (Thuyết minh số 18) > Công ty Cổ phần Sunshine - Design,Công ty Cổ phần Sunshine - Design,Phải trả chi phí tư vấn thiết kế,6.315.645.966,5.364.944.471,,6315645966.0,5364944471.0
Công ty Cổ phần Tập đoàn Xây dựng SCG,Đầu tư tài chính dài hạn (Thuyết minh số 18) > Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Phải trả chi phí hoàn thiện dự án,5.445.955.759,-,,5445955759.0,
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Đầu tư tài chính dài hạn (Thuyết minh số 18) > Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,"Phải trả mua sắm thiết bị, bảo trì và phần mềm",1.319.762.989,-,,1319762989.0,
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Đầu tư tài chính dài hạn (Thuyết minh số 18) > Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Phải trả chi phí dịch vụ suất ăn,393.546.239,-,,393546239.0,
Công ty Cổ phần Quản lý & Vận hành S-Service,Đầu tư tài chính dài hạn (Thuyết minh số 18) > Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Phải trả chi phí vận hành dự án,131.626.080,-,,131626080.0,
Công ty TNHH Dynamic Innovation,Đầu tư tài chính dài hạn (Thuyết minh số 18) > Công ty TNHH Dynamic Innovation,Công ty TNHH Dynamic Innovation,Phải trả dịch vụ thuê xe,97.200.000,-,,97200000.0,
Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Đầu tư tài chính dài hạn (Thuyết minh số 18) > Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,"Phí quảng cáo, truyền thông",-,14.424.780.000,,,14424780000.0
