row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Trong nướcTriệu VND,Ngoài nướcTriệu VND,Tổng cộngTriệu VND,numeric__Trong nướcTriệu VND,numeric__Ngoài nướcTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,1.159.602,-,1.159.602,1159602.0,,1159602.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,19.040.311,-,19.040.311,19040311.0,,19040311.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,3.928.809,83.050,4.011.859,3928809.0,83050.0,4011859.0
Cho vay khách hàng,Tài sản > Cho vay khách hàng,Cho vay khách hàng,129.199.808,-,129.199.808,129199808.0,,129199808.0
Hoạt động mua nợ,Tài sản > Hoạt động mua nợ,Hoạt động mua nợ,326.572,-,326.572,326572.0,,326572.0
Chứng khoán đầu tư,Tài sản > Chứng khoán đầu tư,Chứng khoán đầu tư,27.924.549,-,27.924.549,27924549.0,,27924549.0
Góp vốn đầu tư dài hạn,Tài sản > Góp vốn đầu tư dài hạn,Góp vốn đầu tư dài hạn,184.670,602,185.272,184670.0,602.0,185272.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,365.109,-,365.109,365109.0,,365109.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,3.766.419,-,3.766.419,3766419.0,,3766419.0
,,,185.895.849,83.652,185.979.501,185895849.0,83652.0,185979501.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,15.689.890,11.535.220,27.225.110,15689890.0,11535220.0,27225110.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,117.364.812,4.992.232,122.357.044,117364812.0,4992232.0,122357044.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,2.426,-,2.426,2426.0,,2426.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",10.702,-,10.702,10702.0,,10702.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,17.154.847,-,17.154.847,17154847.0,,17154847.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,4.351.712,-,4.351.712,4351712.0,,4351712.0
,,,154.574.389,16.527.452,171.101.841,154574389.0,16527452.0,171101841.0
Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,,,
Cam kết giao dịch hối đoái,Các cam kết ngoại bảng > Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,72.339.186,-,72.339.186,72339186.0,,72339186.0
Cam kết trong nghiệp vụ L/C,Các cam kết ngoại bảng > Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,1.655.718,-,1.655.718,1655718.0,,1655718.0
Bảo lãnh khác,Các cam kết ngoại bảng > Bảo lãnh khác,Bảo lãnh khác,5.870.998,-,5.870.998,5870998.0,,5870998.0
Các cam kết khác,Các cam kết ngoại bảng > Các cam kết khác,Các cam kết khác,14.426.495,-,14.426.495,14426495.0,,14426495.0
,,,94.292.397,-,94.292.397,94292397.0,,94292397.0
