row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tại ngày 31 tháng 12 năm 2020(Triệu VND)","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Khônghương lãi","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Dưới1 tháng","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến3 tháng","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 3 đến6 tháng","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 6 đến12 tháng","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến5 năm","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trên 5 năm","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tổng cộng","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Khônghương lãi","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Dưới1 tháng","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến3 tháng","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 3 đến6 tháng","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 6 đến12 tháng","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến5 năm","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trên 5 năm","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tổng cộng"
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.421.993,-,-,-,-,-,-,1.421.993,,1421993.0,,,,,,,1421993.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,24.591.537,-,-,-,-,-,24.591.537,,,24591537.0,,,,,,24591537.0
Tiền gửi và cho vaycác TCTD khác - gộp,Tài sản > Tiền gửi và cho vaycác TCTD khác - gộp,Tiền gửi và cho vaycác TCTD khác - gộp,-,-,3.288.703,500.614,579.660,-,-,-,4.368.977,,,3288703.0,500614.0,579660.0,,,,4368977.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,23.753,-,-,-,-,-,-,23.753,,23753.0,,,,,,,23753.0
Cho vay khách hàngvà hoạt động mua nợ- gộp,Tài sản > Cho vay khách hàngvà hoạt động mua nợ- gộp,Cho vay khách hàngvà hoạt động mua nợ- gộp,1.456.240,-,36.854.950,80.910.303,17.499.988,32.073.028,951.917,24.471,169.770.897,1456240.0,,36854950.0,80910303.0,17499988.0,32073028.0,951917.0,24471.0,169770897.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,12.000,2.042.076,1.735.266,14.762.486,11.617.811,5.310.915,5.985.300,41.465.854,,12000.0,2042076.0,1735266.0,14762486.0,11617811.0,5310915.0,5985300.0,41465854.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,137.272,-,-,-,-,-,-,137.272,,137272.0,,,,,,,137272.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,406.873,-,-,-,-,-,-,406.873,,406873.0,,,,,,,406873.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,-,4.396.495,-,-,-,-,-,-,4.396.495,,4396495.0,,,,,,,4396495.0
,,,1.456.240,6.398.386,66.777.266,83.146.183,32.842.134,43.690.839,6.262.832,6.009.771,246.583.651,1456240.0,6398386.0,66777266.0,83146183.0,32842134.0,43690839.0,6262832.0,6009771.0,246583651.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,27.264.953,13.082.317,2.140.223,29,-,-,42.487.522,,,27264953.0,13082317.0,2140223.0,29.0,,,42487522.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,33.117,-,56.360.273,37.727.490,38.447.215,11.697.472,6.083.518,10,150.349.095,33117.0,,56360273.0,37727490.0,38447215.0,11697472.0,6083518.0,10.0,150349095.0
"Vốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro",-,-,3.957,6.131,-,-,-,-,10.088,,,3957.0,6131.0,,,,,10088.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,1.143,-,68.000,-,2.500.000,8.670.000,17.319.720,-,28.558.863,1143.0,,68000.0,,2500000.0,8670000.0,17319720.0,,28558863.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,5.296.295,-,-,-,-,-,-,5.296.295,,5296295.0,,,,,,,5296295.0
,,,34.260,5.296.295,83.697.183,50.815.938,43.087.438,20.367.501,23.403.238,10,226.701.863,34260.0,5296295.0,83697183.0,50815938.0,43087438.0,20367501.0,23403238.0,10.0,226701863.0
Mức chênh lệch nhạy cảm vớilãi suất - nội bảng,Nợ phải trả > Mức chênh lệch nhạy cảm vớilãi suất - nội bảng,Mức chênh lệch nhạy cảm vớilãi suất - nội bảng,1.421.980,1.102.091,(16.919.917),32.330.245,(10.245.304),23.323.338,(17.140.406),6.009.761,19.881.788,1421980.0,1102091.0,-16919917.0,32330245.0,-10245304.0,23323338.0,-17140406.0,6009761.0,19881788.0
Các cam kết ngoại bảng có tácđộng tới mức độ nhạy cảm vớiLãi suất của các tài sản và nợphải trả (thuẩn),Nợ phải trả > Các cam kết ngoại bảng có tácđộng tới mức độ nhạy cảm vớiLãi suất của các tài sản và nợphải trả (thuẩn),Các cam kết ngoại bảng có tácđộng tới mức độ nhạy cảm vớiLãi suất của các tài sản và nợphải trả (thuẩn),-,-,24.354,5.065,(12.412),11.382,570,-,28.959,,,24354.0,5065.0,-12412.0,11382.0,570.0,,28959.0
"Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng","Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng","Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng",1.421.980,1.102.091,(16.895.563),32.335.310,(10.257.716),23.334.720,(17.139.836),6.009.761,19.910.747,1421980.0,1102091.0,-16895563.0,32335310.0,-10257716.0,23334720.0,-17139836.0,6009761.0,19910747.0
