row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,104.042,361.666,51.532,45.262,96.627,659.129,104042.0,361666.0,51532.0,45262.0,96627.0,659129.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.954,68.098,-,14.477,4.354,92.883,5954.0,68098.0,,14477.0,4354.0,92883.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(9.318),-,-,-,(9.318),,-9318.0,,,,-9318.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,109.996,420.446,51.532,59.739,100.981,742.694,109996.0,420446.0,51532.0,59739.0,100981.0,742694.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,44.908,238.473,46.695,23.669,77.170,430.915,44908.0,238473.0,46695.0,23669.0,77170.0,430915.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,6.571,34.492,1.143,8.420,7.379,58.005,6571.0,34492.0,1143.0,8420.0,7379.0,58005.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(9.308),-,-,-,(9.308),,-9308.0,,,,-9308.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,51.479,263.657,47.838,32.089,84.549,479.612,51479.0,263657.0,47838.0,32089.0,84549.0,479612.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,59.134,123.193,4.837,21.593,19.457,228.214,59134.0,123193.0,4837.0,21593.0,19457.0,228214.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,58.517,156.789,3.694,27.650,16.432,263.082,58517.0,156789.0,3694.0,27650.0,16432.0,263082.0
