row_label_raw,row_label_full,col_0,4/9/2017Triệu VND,4/9/2017Triệu VND_1,numeric__4/9/2017Triệu VND,numeric__4/9/2017Triệu VND_1
Mua nợ bằng VND,Mua nợ bằng VND,Mua nợ bằng VND,1.147.463,1.147.463,1147463.0,1147463.0
Mua nợ bằng ngoại tệ,Mua nợ bằng ngoại tệ,Mua nợ bằng ngoại tệ,3.426,3.426,3426.0,3426.0
Dự phòng rủi ro,Dự phòng rủi ro,Dự phòng rủi ro,(18.940),(18.940),-18940.0,-18940.0
,,,1.131.949,1.131.949,1131949.0,1131949.0
Chi tiết hoạt động mua nợ của VIB tại thời điểm cuối năm như sau:,Chi tiết hoạt động mua nợ của VIB tại thời điểm cuối năm như sau:,Chi tiết hoạt động mua nợ của VIB tại thời điểm cuối năm như sau:,Chi tiết hoạt động mua nợ của VIB tại thời điểm cuối năm như sau:,Chi tiết hoạt động mua nợ của VIB tại thời điểm cuối năm như sau:,,
,,,31/12/2020Triệu VND,31/12/2019Triệu VND,,
Mua nợ bằng VND,Chi tiết hoạt động mua nợ của VIB tại thời điểm cuối năm như sau: > Mua nợ bằng VND,Mua nợ bằng VND,250.662,326.572,250662.0,326572.0
Dự phòng rủi ro,Chi tiết hoạt động mua nợ của VIB tại thời điểm cuối năm như sau: > Dự phòng rủi ro,Dự phòng rủi ro,(1.842),(271),-1842.0,-271.0
,,,248.820,326.301,248820.0,326301.0
Giá trị nợ gốc và lãi của các khoản nợ đã mua như sau:,Giá trị nợ gốc và lãi của các khoản nợ đã mua như sau:,Giá trị nợ gốc và lãi của các khoản nợ đã mua như sau:,Giá trị nợ gốc và lãi của các khoản nợ đã mua như sau:,Giá trị nợ gốc và lãi của các khoản nợ đã mua như sau:,,
,,,31/12/2020Triệu VND,31/12/2019Triệu VND,,
Nợ gốc đã mua,Giá trị nợ gốc và lãi của các khoản nợ đã mua như sau: > Nợ gốc đã mua,Nợ gốc đã mua,253.210,329.124,253210.0,329124.0
Lãi của khoản nợ đã mua,Giá trị nợ gốc và lãi của các khoản nợ đã mua như sau: > Lãi của khoản nợ đã mua,Lãi của khoản nợ đã mua,9.686,7.837,9686.0,7837.0
,,,262.896,336.961,262896.0,336961.0
