row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Quá hạn > Đến 3thángTriệu VND,Quá hạn > Trên 3thángTriệu VND,Trong hạn > Đến1 thángTriệu VND,Trong hạn > Từ 1 đến3 thángTriệu VND,Trong hạn > Từ 3 đến12 thángTriệu VND,Trong hạn > Từ 1 nămđến 5 nămTriệu VND,Trong hạn > Trên5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạn > Đến 3thángTriệu VND,numeric__Quá hạn > Trên 3thángTriệu VND,numeric__Trong hạn > Đến1 thángTriệu VND,numeric__Trong hạn > Từ 1 đến3 thángTriệu VND,numeric__Trong hạn > Từ 3 đến12 thángTriệu VND,numeric__Trong hạn > Từ 1 nămđến 5 nămTriệu VND,numeric__Trong hạn > Trên5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.421.993,-,-,-,-,1.421.993,,,1421993.0,,,,,1421993.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,24.591.537,-,-,-,-,24.591.537,,,24591537.0,,,,,24591537.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,-,3.288.703,500.614,579.660,-,-,4.368.977,,,3288703.0,500614.0,579660.0,,,4368977.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,-,23.753,-,-,-,-,23.753,,,23753.0,,,,,23753.0
Cho vay khách hàngvà hoạt động mua nợ - gộp,Tài sản > Cho vay khách hàngvà hoạt động mua nợ - gộp,Cho vay khách hàngvà hoạt động mua nợ - gộp,300.422,1.155.818,7.000.043,12.200.784,36.165.304,60.113.465,52.835.061,169.770.897,300422.0,1155818.0,7000043.0,12200784.0,36165304.0,60113465.0,52835061.0,169770897.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,1.862.076,1.350.266,24.571.297,7.896.915,5.785.300,41.465.854,,,1862076.0,1350266.0,24571297.0,7896915.0,5785300.0,41465854.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,137.272,137.272,,,,,,,137272.0,137272.0
Tài sản cố định - thuần,Tài sản > Tài sản cố định - thuần,Tài sản cố định - thuần,-,-,-,-,-,-,406.873,406.873,,,,,,,406873.0,406873.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,-,-,1.839.177,-,2.557.318,-,-,4.396.495,,,1839177.0,,2557318.0,,,4396495.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,300.422,1.155.818,40.027.282,14.051.664,63.873.579,68.010.380,59.164.506,246.583.651,300422.0,1155818.0,40027282.0,14051664.0,63873579.0,68010380.0,59164506.0,246583651.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,22.984.052,11.462.517,2.140.228,5.900.713,12,42.487.522,,,22984052.0,11462517.0,2140228.0,5900713.0,12.0,42487522.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,10.854,30.115,55.613.622,24.344.005,42.925.162,27.424.797,540,150.349.095,10854.0,30115.0,55613622.0,24344005.0,42925162.0,27424797.0,540.0,150349095.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",-,-,-,5.332,4.756,-,-,10.088,,,,5332.0,4756.0,,,10088.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,1.143,68.000,-,5.100.000,22.709.720,680.000,28.558.863,,1143.0,68000.0,,5100000.0,22709720.0,680000.0,28558863.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,1.717.858,-,3.578.437,-,-,5.296.295,,,1717858.0,,3578437.0,,,5296295.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,10.854,31.258,80.383.532,35.811.854,53.748.583,56.035.230,680.552,226.701.863,10854.0,31258.0,80383532.0,35811854.0,53748583.0,56035230.0,680552.0,226701863.0
Mức chênh thanh khoản thuần,Nợ phải trả > Mức chênh thanh khoản thuần,Mức chênh thanh khoản thuần,289.568,1.124.560,(40.356.250),(21.760.190),10.124.996,11.975.150,58.483.954,19.881.788,289568.0,1124560.0,-40356250.0,-21760190.0,10124996.0,11975150.0,58483954.0,19881788.0
