row_label_raw,row_label_full,col_0,Ngàn VNDPhần mềm vi tính,numeric__Ngàn VNDPhần mềm vi tính
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,5.980.000,5980000.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,
Số đầu năm,Hao mòn lũy kế > Số đầu năm,Số đầu năm,(1.245.833),-1245833.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,(747.500),-747500.0
Số cuối năm,Hao mòn lũy kế > Số cuối năm,Số cuối năm,(1.993.333),-1993333.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,4.734.167,4734167.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,3.986.667,3986667.0
