row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lỗ lũy kế,Ngàn VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lỗ lũy kế,numeric__Ngàn VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,(94.434.252),12.161.231.698,11085538950.0,1170127000.0,-94434252.0,12161231698.0
"Chia thù lao cho HĐQT, BKS","Năm trước > Chia thù lao cho HĐQT, BKS","Chia thù lao cho HĐQT, BKS",-,-,(960.000),(960.000),,,-960000.0,-960000.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,(255.814.631),(255.814.631),,,-255814631.0,-255814631.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,(351.208.883),11.904.457.067,11085538950.0,1170127000.0,-351208883.0,11904457067.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,(351.208.883),11.904.457.067,11085538950.0,1170127000.0,-351208883.0,11904457067.0
"Chia thù lao cho HĐQT, BKS","Năm nay > Chia thù lao cho HĐQT, BKS","Chia thù lao cho HĐQT, BKS",-,-,(552.000),(552.000),,,-552000.0,-552000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,222.921.925,222.921.925,,,222921925.0,222921925.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,(128.838.958),12.126.826.992,11085538950.0,1170127000.0,-128838958.0,12126826992.0
