row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.255.107.462,2.260.978.441,2255107462.0,2260978441.0
Phải thu các bên liên quan từ việc cán trừ công nợ,Phải thu các bên liên quan từ việc cán trừ công nợ,Phải thu các bên liên quan từ việc cán trừ công nợ,1.661.497.770,1.695.366.342,1661497770.0,1695366342.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,384.245.702,320.330.245,384245702.0,320330245.0
Chỉ hộ,Chỉ hộ,Chỉ hộ,167.203.522,221.967.461,167203522.0,221967461.0
Khác,Khác,Khác,42.160.468,23.314.393,42160468.0,23314393.0
Dài hạn,Dài hạn,Dài hạn,1.606.994.774,1.486.306.351,1606994774.0,1486306351.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,1.576.715.651,1.456.965.163,1576715651.0,1456965163.0
Khác,Khác,Khác,30.279.123,29.341.188,30279123.0,29341188.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.862.102.236,3.747.284.792,3862102236.0,3747284792.0
Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,(21.012.000),(14.708.400),-21012000.0,-14708400.0
GIÁ TRỊ THUẦN,GIÁ TRỊ THUẦN,GIÁ TRỊ THUẦN,3.841.090.236,3.732.576.392,3841090236.0,3732576392.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác các bên liên quan(TM số 27),Trong đó: > Phải thu ngắn hạn khác các bên liên quan(TM số 27),Phải thu ngắn hạn khác các bên liên quan(TM số 27),2.233.201.271,2.237.664.048,2233201271.0,2237664048.0
Phải thu dài hạn khác các bên liên quan(TM số 27),Trong đó: > Phải thu dài hạn khác các bên liên quan(TM số 27),Phải thu dài hạn khác các bên liên quan(TM số 27),1.606.994.774,1.486.306.351,1606994774.0,1486306351.0
Phải thu khác các bên thứ ba,Trong đó: > Phải thu khác các bên thứ ba,Phải thu khác các bên thứ ba,894.191,8.605.993,894191.0,8605993.0
