row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận chuyển,Thiết bị văn phòng,Ngàn VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận chuyển,numeric__Thiết bị văn phòng,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,873.865,5.550.336,2.966.173,9.390.374,873865.0,5550336.0,2966173.0,9390374.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,150.803,-,150.803,,150803.0,,150803.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,873.865,5.701.139,2.966.173,9.541.177,873865.0,5701139.0,2966173.0,9541177.0
Trong đó: Đã khấu hao hết,Nguyên giá > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,873.865,4.311.791,322.183,5.507.839,873865.0,4311791.0,322183.0,5507839.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,(859.049),(4.996.940),(1.497.183),(7.353.172),-859049.0,-4996940.0,-1497183.0,-7353172.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(14.816),(208.855),(528.798),(752.469),-14816.0,-208855.0,-528798.0,-752469.0
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,(873.865),(5.205.795),(2.025.981),(8.105.641),-873865.0,-5205795.0,-2025981.0,-8105641.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,14.816,553.396,1.468.990,2.037.202,14816.0,553396.0,1468990.0,2037202.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,495.344,940.192,1.435.536,,495344.0,940192.0,1435536.0
