row_label_raw,row_label_full,THAGRICO,Công ty con củacông ty có cùngthành viên HĐQT,Mua hàng hóa,33.835.318,-,numeric__Công ty con củacông ty có cùngthành viên HĐQT,numeric__Mua hàng hóa,numeric__33.835.318,numeric__-
Công Ty TNHHPhân PhốiThaco Auto,Công Ty TNHHPhân PhốiThaco Auto,Công Ty TNHHPhân PhốiThaco Auto,Công ty con củacông ty có cùngthành viên HĐQT,Mua hàng hóa,24.300.000,-,,,24300000.0,
CRD,CRD,CRD,Công ty con,Mua hàng hóa,2.473.553,6.268.887,,,2473553.0,6268887.0
Thilogi,Thilogi,Thilogi,Công ty con củacông ty có cùngthành viên HĐQT,Mua dịch vụ,-,7.750.385,,,,7750385.0
Bên liênquan khác,Bên liênquan khác,Bên liênquan khác,Bên liên quan,Mua hàng hòavà dịch vụ,3.779.834,11.662.983,,,3779834.0,11662983.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,64.388.705,25.682.255,,,64388705.0,25682255.0
