row_label_raw,row_label_full,HA Attapeu,Công ty con,Cho mượnLãi cho vayChi hộ,1.516.459.348296.928.809166.939.528,1.460.547.605248.525.712202.561.559,numeric__Công ty con,numeric__Cho mượnLãi cho vayChi hộ,numeric__1.516.459.348296.928.809166.939.528,numeric__1.460.547.605248.525.712202.561.559
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Cán trừ công nợ,127.295.595,-,,,127295595.0,
HAQM Lào,HAQM Lào,HAQM Lào,Công ty con,Lãi cho vayCán trừ công nợChi hộ,85.351.4445.890.280263.994,71.804.533726.16719.368.702,,,8.535144458902802e+20,7.180453372616719e+21
Bidiphar,Bidiphar,Bidiphar,Công ty liên kết,Cổ tức được chia,26.144.558,-,,,26144558.0,
CRD,CRD,CRD,Công ty con,Cán trừ công nợ,5.955.067,,,,5955067.0,
HA Oyadav,HA Oyadav,HA Oyadav,Công ty con,Lãi cho vay,1.965.448,-,,,1965448.0,
HA An Dong Meas,HA An Dong Meas,HA An Dong Meas,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn,-,195.894.200,,,,195894200.0
HA Lumphat,HA Lumphat,HA Lumphat,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn,-,38.198.370,,,,38198370.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan,Chi hộ,7.200,37.200,,,7200.0,37200.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.233.201.271,2.237.664.048,,,2233201271.0,2237664048.0
