row_label_raw,row_label_full,Ông Bùi Minh Khoa,Trường ban,col_2,numeric__Trường ban,numeric__col_2
Ông Đặng Công Trực,Ông Đặng Công Trực,Ông Đặng Công Trực,Thành viên,,,
Bà Bùi Thị Liễu,Bà Bùi Thị Liễu,Bà Bùi Thị Liễu,Thành viên,bổ nhiệm ngày 16 tháng 4 năm 2022,,
Bà Lê Thủy Dương,Bà Lê Thủy Dương,Bà Lê Thủy Dương,Thành viên,miễn nhiệm ngày 16 tháng 4 năm 2022,,
